GeneInfo	GeneID	Gene_Desc	CA_N_007	CA_N_012	CA_N_030	CA_P_013	CA_P_041	CA_P_055	CA_SL_019	CA_SL_048	CA_SL_056	CA_SM_029	CA_SM_039	CA_SM_049
Caust.v2_000017-RB	Caust.v2_000017	ubiquitin-like modifier-activating enzyme atg7-like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000018-RA	Caust.v2_000018	cyclin-g-associated kinase-like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000019-RA	Caust.v2_000019	NA	1	13	7	3	5	6	9	8	6	3	3	5
Caust.v2_000020-RC	Caust.v2_000020	sorting nexin-13-like	1898	837	1665	908	875	1073	1135	1319	795	814	851	1591
Caust.v2_000020-RC	Caust.v2_000020	sorting nexin-13-like	17	1	12	11	6	8	0	6	4	7	2	7
Caust.v2_000020-RB	Caust.v2_000020	sorting nexin-13-like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000020-RA	Caust.v2_000020	sorting nexin-13-like	3	4	2	2	4	2	2	1	2	1	1	1
Caust.v2_000020-RC	Caust.v2_000020	sorting nexin-13-like	0	2	0	0	2	1	1	0	0	0	0	3
Caust.v2_000021-RA	Caust.v2_000021	NA	1	3	3	2	6	0	1	3	8	4	11	4
Caust.v2_000022-RA	Caust.v2_000022	transcription initiation factor tfiid subunit 10-like	1507	1098	1490	1589	1107	1629	4224	3117	1332	1223	1404	6402
Caust.v2_000023-RA	Caust.v2_000023	fork head domain-containing protein fd4	20	9	18	7	14	8	12	13	28	14	20	23
Caust.v2_000024-RA	Caust.v2_000024	NA	11	0	14	9	8	3	12	6	9	8	6	14
Caust.v2_000025-RA	Caust.v2_000025	NA	21	20	13	14	18	20	17	25	30	11	20	33
Caust.v2_000026-RA	Caust.v2_000026	low quality protein: midasin-like	2665	1591	1722	1875	1323	1936	1644	2241	1847	1838	1363	1859
Caust.v2_000027-RB	Caust.v2_000027	uncharacterized protein loc100571749	20	17	7	20	11	22	3	16	20	14	8	9
Caust.v2_000028-RA	Caust.v2_000028	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000029-RA	Caust.v2_000029	NA	599	612	553	964	561	542	644	671	588	477	587	874
Caust.v2_000030-RA	Caust.v2_000030	regulator of g-protein signaling 7-like	104	126	97	120	149	78	41	77	94	60	81	61
Caust.v2_000031-RA	Caust.v2_000031	monocarboxylate transporter 12-like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000031-RA	Caust.v2_000031	monocarboxylate transporter 12-like	0	2	1	3	1	1	5	2	1	0	3	6
Caust.v2_000031-RB	Caust.v2_000031	monocarboxylate transporter 12-like	2	0	0	0	0	1	0	0	0	0	1	0
Caust.v2_000032-RA	Caust.v2_000032	NA	4	1	0	7	3	0	0	1	1	1	1	1
Caust.v2_000033-RA	Caust.v2_000033	NA	54	32	36	32	35	57	62	69	43	24	49	49
Caust.v2_000034-RA	Caust.v2_000034	thymidylate synthase	1473	642	687	863	376	903	949	1278	830	821	615	1584
Caust.v2_000035-RA	Caust.v2_000035	 	1073	1424	1378	1693	1346	1291	1200	1488	1226	1137	1117	1533
Caust.v2_000035-RA	Caust.v2_000035	 	0	0	0	0	0	0	0	0	1	0	0	0
Caust.v2_000035-RC	Caust.v2_000035	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000036-RA	Caust.v2_000036	forkhead transcription factor hcm1	63	58	57	39	31	57	88	62	45	44	52	74
Caust.v2_000037-RA	Caust.v2_000037	 	2097	1230	1755	1551	1203	1974	1963	2437	1578	1381	1323	2386
Caust.v2_000038-RA	Caust.v2_000038	probable dna-directed rna polymerases i and iii subunit rpac2-like	794	345	678	532	435	596	821	834	477	528	489	944
Caust.v2_000039-RA	Caust.v2_000039	40s ribosomal protein s2	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000040-RA	Caust.v2_000040	oligosaccharyltransferase complex subunit ostc	896	746	826	789	617	882	1227	1361	688	723	777	1419
Caust.v2_000041-RA	Caust.v2_000041	sorting nexin-14-like	886	641	664	820	509	803	937	1052	628	667	640	1232
Caust.v2_000042-RA	Caust.v2_000042	protein fam86a-like	313	167	370	238	173	282	282	370	232	189	189	335
Caust.v2_000043-RA	Caust.v2_000043	geranylgeranyl transferase type-2 subunit beta	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000044-RA	Caust.v2_000044	 	1587	887	1311	1573	839	1456	1883	1922	1068	1273	1284	2404
Caust.v2_000045-RA	Caust.v2_000045	NA	456	10303	3456	24706	7488	4664	5417	9050	706	20729	5028	5152
Caust.v2_000046-RA	Caust.v2_000046	 	746	445	710	656	381	1485	1284	1234	1259	809	478	2051
Caust.v2_000047-RA	Caust.v2_000047	 	3128	1573	2531	2236	1507	2847	3634	3962	2022	2257	2129	5036
Caust.v2_000048-RE	Caust.v2_000048	glycerol-3-phosphate mitochondrial isoform x1	2	2	8	2	3	2	0	0	2	0	0	1
Caust.v2_000048-RB	Caust.v2_000048	glycerol-3-phosphate mitochondrial isoform x1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000048-RA	Caust.v2_000048	glycerol-3-phosphate mitochondrial isoform x1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000048-RM	Caust.v2_000048	glycerol-3-phosphate mitochondrial isoform x1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000048-RA	Caust.v2_000048	glycerol-3-phosphate mitochondrial isoform x1	21	11	18	28	43	15	9	14	12	6	13	4
Caust.v2_000048-RA	Caust.v2_000048	glycerol-3-phosphate mitochondrial isoform x1	98	80	95	83	66	87	99	102	78	52	72	86
Caust.v2_000048-RH	Caust.v2_000048	glycerol-3-phosphate mitochondrial isoform x1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000048-RA	Caust.v2_000048	glycerol-3-phosphate mitochondrial isoform x1	1	3	0	1	4	2	0	0	2	0	2	0
Caust.v2_000048-RA	Caust.v2_000048	glycerol-3-phosphate mitochondrial isoform x1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000048-RA	Caust.v2_000048	glycerol-3-phosphate mitochondrial isoform x1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000048-RA	Caust.v2_000048	glycerol-3-phosphate mitochondrial isoform x1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000048-RA	Caust.v2_000048	glycerol-3-phosphate mitochondrial isoform x1	4099	5426	3791	5569	6068	2942	1310	2825	4067	3016	3908	1282
Caust.v2_000049-RA	Caust.v2_000049	uncharacterized protein loc100865987	135	114	128	164	197	82	24	115	95	63	96	33
Caust.v2_000050-RA	Caust.v2_000050	transcription factor sp4-like isoform x2	60	26	31	49	38	37	43	62	33	35	32	63
Caust.v2_000051-RA	Caust.v2_000051	 	698	577	533	766	361	594	557	674	709	507	665	679
Caust.v2_000052-RA	Caust.v2_000052	NA	0	0	0	0	1	0	1	0	0	0	0	1
Caust.v2_000053-RA	Caust.v2_000053	NA	0	3	0	0	2	4	3	4	1	1	0	0
Caust.v2_000054-RA	Caust.v2_000054	aminoacylase-1-like	1984	1898	2323	2478	1850	1992	1262	2059	2059	2008	2505	1930
Caust.v2_000055-RA	Caust.v2_000055	histone-lysine n-methyltransferase mll5	1216	719	814	1138	708	835	969	1260	845	855	854	1040
Caust.v2_000056-RA	Caust.v2_000056	histone-lysine n-methyltransferase mll5	209	65	130	234	85	134	197	316	244	185	165	170
Caust.v2_000057-RA	Caust.v2_000057	NA	0	1	1	1	3	1	1	2	8	0	4	0
Caust.v2_000058-RA	Caust.v2_000058	NA	1	2	0	2	7	1	5	2	7	1	0	1
Caust.v2_000059-RA	Caust.v2_000059	protein anon-73b1	281	186	288	238	229	280	335	418	235	163	241	593
Caust.v2_000060-RA	Caust.v2_000060	inosine-uridine preferring nucleoside hydrolase-like precursor	44	49	69	107	77	44	21	37	53	52	68	36
Caust.v2_000061-RC	Caust.v2_000061	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000061-RB	Caust.v2_000061	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000061-RA	Caust.v2_000061	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000061-RB	Caust.v2_000061	 	30	19	17	39	14	18	16	29	15	27	14	27
Caust.v2_000061-RB	Caust.v2_000061	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000061-RB	Caust.v2_000061	 	111	98	129	137	77	86	191	162	69	93	84	190
Caust.v2_000061-RB	Caust.v2_000061	 	0	0	0	0	0	1	1	0	0	0	0	0
Caust.v2_000061-RD	Caust.v2_000061	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000062-RA	Caust.v2_000062	regucalcin-like	3867	3692	4102	5916	4833	2890	3291	5449	2810	5109	3086	3867
Caust.v2_000063-RA	Caust.v2_000063	 	5542	5497	5143	6744	5484	6744	16410	23980	12900	8888	26000	44945
Caust.v2_000064-RA	Caust.v2_000064	protein transport protein sec61 subunit alpha isoform 2	90	91	49	101	71	68	62	109	51	96	65	90
Caust.v2_000065-RA	Caust.v2_000065	NA	3547	4795	3677	4624	4540	4315	2981	5591	3903	4128	4974	3107
Caust.v2_000066-RA	Caust.v2_000066	was wasl-interacting protein family member 3-like isoform x1	1224	895	1105	1241	827	1223	1507	1900	939	1071	1032	2202
Caust.v2_000067-RA	Caust.v2_000067	atp-binding cassette sub-family f member 3	2576	2044	2232	2991	2108	2275	2484	3353	1918	1995	2042	3715
Caust.v2_000068-RA	Caust.v2_000068	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000069-RA	Caust.v2_000069	chromodomain-helicase-dna-binding protein mi-2-like protein	3078	2790	2364	3646	2373	2499	3104	3906	2761	2674	3342	3593
Caust.v2_000070-RA	Caust.v2_000070	prefoldin subunit 1	1125	879	1070	1084	999	1089	1202	1442	904	955	869	1520
Caust.v2_000071-RE	Caust.v2_000071	u2 snrnp-associated surp motif-containing isoform 1	0	0	0	0	0	2	0	0	0	0	0	0
Caust.v2_000071-RE	Caust.v2_000071	u2 snrnp-associated surp motif-containing isoform 1	3668	2776	3174	3010	2167	2975	3271	4045	2894	3026	2696	3066
Caust.v2_000071-RE	Caust.v2_000071	u2 snrnp-associated surp motif-containing isoform 1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000071-RA	Caust.v2_000071	u2 snrnp-associated surp motif-containing isoform 1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000071-RC	Caust.v2_000071	u2 snrnp-associated surp motif-containing isoform 1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000071-RD	Caust.v2_000071	u2 snrnp-associated surp motif-containing isoform 1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000072-RA	Caust.v2_000072	NA	571	469	534	515	364	501	490	618	423	451	490	518
Caust.v2_000073-RA	Caust.v2_000073	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000073-RA	Caust.v2_000073	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000073-RB	Caust.v2_000073	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000074-RE	Caust.v2_000074	muscarinic acetylcholine receptor dm1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000074-RD	Caust.v2_000074	muscarinic acetylcholine receptor dm1	0	1	0	0	1	1	0	0	0	0	0	0
Caust.v2_000074-RC	Caust.v2_000074	muscarinic acetylcholine receptor dm1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000074-RG	Caust.v2_000074	muscarinic acetylcholine receptor dm1	39	40	28	34	37	12	12	26	17	16	18	15
Caust.v2_000074-RD	Caust.v2_000074	muscarinic acetylcholine receptor dm1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000074-RD	Caust.v2_000074	muscarinic acetylcholine receptor dm1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000074-RD	Caust.v2_000074	muscarinic acetylcholine receptor dm1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000074-RA	Caust.v2_000074	muscarinic acetylcholine receptor dm1	8	15	16	28	12	6	11	22	6	14	19	8
Caust.v2_000074-RD	Caust.v2_000074	muscarinic acetylcholine receptor dm1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000074-RD	Caust.v2_000074	muscarinic acetylcholine receptor dm1	1	2	2	2	8	7	0	2	9	3	1	0
Caust.v2_000075-RD	Caust.v2_000075	bifunctional atp-dependent dihydroxyacetone kinase fad-amp lyase -like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000075-RB	Caust.v2_000075	bifunctional atp-dependent dihydroxyacetone kinase fad-amp lyase -like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000075-RB	Caust.v2_000075	bifunctional atp-dependent dihydroxyacetone kinase fad-amp lyase -like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000075-RA	Caust.v2_000075	bifunctional atp-dependent dihydroxyacetone kinase fad-amp lyase -like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000075-RB	Caust.v2_000075	bifunctional atp-dependent dihydroxyacetone kinase fad-amp lyase -like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000075-RG	Caust.v2_000075	bifunctional atp-dependent dihydroxyacetone kinase fad-amp lyase -like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000075-RC	Caust.v2_000075	bifunctional atp-dependent dihydroxyacetone kinase fad-amp lyase -like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000075-RB	Caust.v2_000075	bifunctional atp-dependent dihydroxyacetone kinase fad-amp lyase -like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000075-RI	Caust.v2_000075	bifunctional atp-dependent dihydroxyacetone kinase fad-amp lyase -like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000075-RB	Caust.v2_000075	bifunctional atp-dependent dihydroxyacetone kinase fad-amp lyase -like	19	9	13	11	5	13	9	10	8	7	9	8
Caust.v2_000075-RD	Caust.v2_000075	bifunctional atp-dependent dihydroxyacetone kinase fad-amp lyase -like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000075-RB	Caust.v2_000075	bifunctional atp-dependent dihydroxyacetone kinase fad-amp lyase -like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000075-RB	Caust.v2_000075	bifunctional atp-dependent dihydroxyacetone kinase fad-amp lyase -like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000075-RJ	Caust.v2_000075	bifunctional atp-dependent dihydroxyacetone kinase fad-amp lyase -like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000075-RB	Caust.v2_000075	bifunctional atp-dependent dihydroxyacetone kinase fad-amp lyase -like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000075-RB	Caust.v2_000075	bifunctional atp-dependent dihydroxyacetone kinase fad-amp lyase -like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000075-RH	Caust.v2_000075	bifunctional atp-dependent dihydroxyacetone kinase fad-amp lyase -like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000075-RF	Caust.v2_000075	bifunctional atp-dependent dihydroxyacetone kinase fad-amp lyase -like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000075-RB	Caust.v2_000075	bifunctional atp-dependent dihydroxyacetone kinase fad-amp lyase -like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000076-RA	Caust.v2_000076	male-specific lethal 2-like protein	5417	3992	4482	3244	3279	3469	1246	2227	3918	3376	3678	1679
Caust.v2_000077-RA	Caust.v2_000077	myotubularin-related protein 8	628	505	551	588	435	579	569	683	495	487	483	758
Caust.v2_000078-RA	Caust.v2_000078	calnexin	4044	3068	3819	4176	2854	3590	3876	4539	3237	3126	3307	4801
Caust.v2_000079-RA	Caust.v2_000079	anaphase-promoting complex subunit 10	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000080-RA	Caust.v2_000080	NA	3363	1029	1854	1926	918	2122	2024	2657	1803	2120	1422	3128
Caust.v2_000081-RA	Caust.v2_000081	testis-specific serine threonine-protein kinase 1-like	4	3	12	9	4	5	5	6	3	4	14	20
Caust.v2_000082-RA	Caust.v2_000082	integrator complex subunit 2	1362	731	999	1023	561	1081	1418	1598	746	768	912	1941
Caust.v2_000083-RA	Caust.v2_000083	paxip1-associated protein 1-like	246	122	156	137	73	152	192	198	103	154	152	305
Caust.v2_000084-RA	Caust.v2_000084	protein i m not dead yet-like	252	129	206	123	81	181	190	220	134	160	151	273
Caust.v2_000085-RA	Caust.v2_000085	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000086-RA	Caust.v2_000086	NA	5	9	8	4	2	5	5	3	8	6	4	4
Caust.v2_000087-RA	Caust.v2_000087	uncharacterized protein cg3556	279	652	493	813	460	272	104	226	352	287	385	176
Caust.v2_000088-RA	Caust.v2_000088	NA	16	11	5	11	10	16	8	9	10	16	12	5
Caust.v2_000089-RA	Caust.v2_000089	NA	3	3	7	6	3	12	4	4	5	14	1	8
Caust.v2_000090-RA	Caust.v2_000090	transcription factor hes-4	595	445	514	519	446	496	441	607	461	456	430	535
Caust.v2_000091-RA	Caust.v2_000091	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000092-RA	Caust.v2_000092	gamma-tubulin complex component 3	1022	538	724	703	481	766	823	982	643	600	533	1009
Caust.v2_000093-RD	Caust.v2_000093	myotubularin-related protein 4 isoform x1	884	722	788	823	521	589	775	978	627	665	588	944
Caust.v2_000093-RB	Caust.v2_000093	myotubularin-related protein 4 isoform x1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000093-RC	Caust.v2_000093	myotubularin-related protein 4 isoform x1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000093-RA	Caust.v2_000093	myotubularin-related protein 4 isoform x1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000093-RD	Caust.v2_000093	myotubularin-related protein 4 isoform x1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000093-RD	Caust.v2_000093	myotubularin-related protein 4 isoform x1	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000093-RD	Caust.v2_000093	myotubularin-related protein 4 isoform x1	53	42	55	62	30	31	23	69	39	38	30	66
Caust.v2_000094-RA	Caust.v2_000094	gustatory receptor 43a-like	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000095-RB	Caust.v2_000095	cyclin-y	0	0	1	3	1	0	1	3	0	2	3	3
Caust.v2_000095-RA	Caust.v2_000095	cyclin-y	678	510	696	826	513	596	912	1035	424	518	528	1363
Caust.v2_000095-RA	Caust.v2_000095	cyclin-y	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000096-RA	Caust.v2_000096	 	415	107	325	213	98	442	749	849	265	256	220	1222
Caust.v2_000097-RA	Caust.v2_000097	NA	14	12	12	25	27	7	5	10	22	11	20	13
Caust.v2_000098-RC	Caust.v2_000098	tripartite motif-containing protein 45	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000098-RB	Caust.v2_000098	tripartite motif-containing protein 45	1	0	0	0	1	0	0	0	2	0	0	0
Caust.v2_000098-RB	Caust.v2_000098	tripartite motif-containing protein 45	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000098-RB	Caust.v2_000098	tripartite motif-containing protein 45	5	0	3	0	0	0	4	2	2	0	2	0
Caust.v2_000098-RB	Caust.v2_000098	tripartite motif-containing protein 45	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000098-RA	Caust.v2_000098	tripartite motif-containing protein 45	5	0	5	4	2	2	3	7	5	2	3	0
Caust.v2_000099-RA	Caust.v2_000099	ribosomal protein s8	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000100-RA	Caust.v2_000100	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000101-RA	Caust.v2_000101	dyslexia-associated protein kiaa0319-like protein	227	263	162	293	155	137	168	213	152	169	159	162
Caust.v2_000102-RA	Caust.v2_000102	protein smoothened	1474	2568	1256	2367	1372	1181	997	1146	1606	1186	1211	980
Caust.v2_000103-RA	Caust.v2_000103	androgen-induced gene 1	106	496	168	328	173	162	92	115	202	130	244	50
Caust.v2_000104-RD	Caust.v2_000104	retinaldehyde-binding protein 1-like protein 2	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000104-RD	Caust.v2_000104	retinaldehyde-binding protein 1-like protein 2	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000104-RA	Caust.v2_000104	retinaldehyde-binding protein 1-like protein 2	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000104-RD	Caust.v2_000104	retinaldehyde-binding protein 1-like protein 2	115	149	230	100	206	94	59	90	99	83	115	50
Caust.v2_000104-RB	Caust.v2_000104	retinaldehyde-binding protein 1-like protein 2	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000105-RC	Caust.v2_000105	fatty-acid amide hydrolase 2	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000105-RA	Caust.v2_000105	fatty-acid amide hydrolase 2	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000105-RB	Caust.v2_000105	fatty-acid amide hydrolase 2	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000105-RD	Caust.v2_000105	fatty-acid amide hydrolase 2	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000105-RB	Caust.v2_000105	fatty-acid amide hydrolase 2	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000105-RB	Caust.v2_000105	fatty-acid amide hydrolase 2	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000106-RA	Caust.v2_000106	cytochrome b5 reductase 4	618	730	674	766	730	666	416	669	692	620	595	471
Caust.v2_000107-RA	Caust.v2_000107	NA	0	4	1	0	0	1	0	0	0	5	1	2
Caust.v2_000108-RA	Caust.v2_000108	NA	0	0	0	0	1	0	0	0	1	0	0	0
Caust.v2_000109-RA	Caust.v2_000109	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000110-RA	Caust.v2_000110	NA	0	1	0	2	0	4	0	2	0	0	0	0
Caust.v2_000111-RA	Caust.v2_000111	monocarboxylate transporter 10-like isoform x1	2	3	1	2	1	3	1	1	0	2	1	1
Caust.v2_000112-RA	Caust.v2_000112	NA	0	0	0	0	0	0	0	0	0	1	0	0
Caust.v2_000113-RA	Caust.v2_000113	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000114-RA	Caust.v2_000114	monocarboxylate transporter 14	52	67	69	81	37	63	27	61	63	45	52	69
Caust.v2_000115-RA	Caust.v2_000115	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000116-RA	Caust.v2_000116	pogo transposable element with znf domain	650	429	508	580	417	576	688	739	538	436	502	1027
Caust.v2_000117-RB	Caust.v2_000117	ornithine decarboxylase	138	79	109	97	67	71	126	154	75	68	61	151
Caust.v2_000117-RB	Caust.v2_000117	ornithine decarboxylase	2365	2306	2334	2906	2531	1936	1789	2435	2389	1857	2150	2162
Caust.v2_000117-RA	Caust.v2_000117	ornithine decarboxylase	1	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000118-RA	Caust.v2_000118	NA	397	89	275	242	81	338	792	562	233	196	239	1306
Caust.v2_000119-RB	Caust.v2_000119	 	1736	758	1315	1285	608	1409	2585	2289	1166	1091	1260	4339
Caust.v2_000119-RB	Caust.v2_000119	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000119-RC	Caust.v2_000119	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000119-RB	Caust.v2_000119	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000119-RA	Caust.v2_000119	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000119-RD	Caust.v2_000119	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000119-RB	Caust.v2_000119	 	26	20	22	30	17	32	47	56	31	22	35	59
Caust.v2_000119-RD	Caust.v2_000119	 	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000120-RA	Caust.v2_000120	cuticular protein analogous to peritrophins 3-c precursor	115	216	155	112	177	1356	57	92	1198	110	105	53
Caust.v2_000121-RA	Caust.v2_000121	NA	0	0	0	0	0	0	0	0	0	0	1	0
Caust.v2_000122-RA	Caust.v2_000122	NA	0	0	1	0	0	0	1	0	0	0	0	0
Caust.v2_000123-RA	Caust.v2_000123	dna-directed rna polymerase ii subunit rpb1	2	3	2	6	3	3	1	18	4	2	1	0
Caust.v2_000124-RA	Caust.v2_000124	chondroitin proteoglycan-2-like	0	1	0	1	0	0	0	0	1	0	0	0
