GeneInfo	AM_N_056	AM_N_068	AM_N_072	AM_P_053	AM_P_057	AM_P_061	AM_SL_050	AM_SL_054	AM_SL_058	AM_SM_051	AM_SM_059	AM_SM_075
rna-XM_006557381.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_001122271.5	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006557386.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006557383.3	6	6	4	1	5	5	8	1	2	5	3	13
rna-XM_006557382.3	1	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006557384.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006557379.3	9	3	3	5	8	15	3	5	8	5	5	7
rna-XM_006557385.3	37	16	26	52	22	83	18	59	32	39	52	47
rna-XM_016910810.2	1	0	0	2	0	1	0	2	1	2	4	3
rna-NR_031523.1	0	0	0	3	1	0	0	0	0	0	0	0
rna-Mir2-2	0	0	0	0	0	0	0	0	0	0	0	0
rna-NR_031522.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-Mir2-1	0	0	0	0	0	0	0	0	0	0	0	0
rna-NR_127369.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-Mir2b	0	0	0	0	0	0	0	0	0	0	0	0
rna-NR_034307.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-Mir13b	0	0	0	0	0	0	0	0	0	0	0	0
rna-NR_034285.1	0	0	0	0	0	0	0	0	0	2	0	0
rna-Mir13a	0	0	0	0	0	0	0	0	0	0	0	0
rna-NR_034287.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-Mir2-3	0	0	0	0	0	0	0	0	0	0	0	0
rna-NR_034296.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-Mir71	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003305810.1	59	13	25	27	22	31	19	25	28	24	23	35
rna-XM_026444102.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_394248.6	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446225.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446229.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446228.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446230.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446227.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446232.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446234.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446237.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446226.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446233.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446235.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446236.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446231.1	0	0	0	0	0	1	0	0	0	0	2	0
rna-XM_026446241.1	2	0	1	0	0	4	1	0	0	0	1	4
rna-XM_026446239.1	8	3	7	11	1	8	9	11	3	7	1	6
rna-XM_016910677.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446240.1	5	0	4	7	1	5	2	3	3	7	1	7
rna-XM_026446242.1	168	54	74	82	53	89	43	145	63	85	80	151
rna-XM_001120565.5	17	16	0	5	3	4	6	59	10	53	3	1
rna-XM_003249064.4	2244	660	894	1335	542	915	639	1067	799	1027	813	1716
rna-XM_016918148.2	1	1	2	0	0	0	1	0	0	0	3	1
rna-XM_016918144.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006557369.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016918147.2	0	0	0	4	3	6	0	0	0	1	0	0
rna-XM_006557372.3	33	13	12	9	16	15	7	31	14	15	24	23
rna-XM_016910683.2	30	21	20	26	8	25	13	24	15	20	9	59
rna-NR_039462.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-Mir3768	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006557374.3	29	1	30	7	0	6	4	8	4	6	3	15
rna-XR_001706010.2	24	8	18	8	16	22	21	18	14	13	13	9
rna-XR_001706008.2	31	8	5	4	6	2	3	10	6	6	11	16
rna-XR_003304966.1	1	0	0	1	0	0	0	0	0	0	0	0
rna-XM_026441502.1	690	196	263	328	316	440	226	349	304	264	161	437
rna-XR_001706027.2	23	10	9	10	10	19	3	7	10	11	9	9
rna-XM_394245.6	251	215	163	215	185	405	248	348	163	379	514	334
rna-XM_016916693.2	0	0	0	1	0	2	1	1	3	1	0	3
rna-NM_001141964.1	7623	6270	4786	10561	4684	13414	7255	9607	7222	8368	8297	8594
rna-XR_003306183.1	0	2	2	3	1	4	2	0	2	2	2	7
rna-XM_003249062.4	293	92	123	170	59	139	58	201	81	159	67	241
rna-XR_407471.3	94	48	24	103	33	47	52	64	39	84	35	89
rna-XM_001122476.5	46	37	29	55	25	39	37	43	46	54	46	70
rna-XR_407453.3	119	92	69	170	89	202	130	195	142	264	232	211
rna-NM_001204751.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-NR_039460.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-Mir3766	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006557359.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016914916.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006557358.3	25	12	12	15	7	8	8	4	8	13	5	12
rna-XM_001122509.5	646	230	265	334	180	370	204	302	287	391	235	616
rna-XM_006557357.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016917835.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026441961.1	2	0	0	3	0	0	0	3	0	6	3	5
rna-XM_016917834.2	5	5	7	9	4	19	4	10	4	9	18	26
rna-XR_001706436.2	40	10	15	26	9	9	6	31	23	34	31	54
rna-XM_006557355.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006557354.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446332.1	19	9	9	18	6	25	5	11	9	26	13	31
rna-XM_026446257.1	253	177	173	235	132	377	198	281	161	282	536	310
rna-TRNAK-CUU	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446333.1	298	146	183	277	156	377	169	229	252	217	329	295
rna-XM_026446258.1	1527	826	911	1379	647	1769	980	1316	1130	1215	2090	1463
rna-XM_006557352.3	10	0	6	6	3	10	0	1	9	3	4	7
rna-XM_624067.5	0	0	0	0	0	0	0	0	0	0	0	0
rna-TRNAQ-CUG	35	10	11	25	27	22	18	45	9	20	27	38
rna-XM_026439854.1	598	308	294	349	232	364	230	312	196	329	346	462
rna-XR_407459.3	53	39	54	54	13	41	9	223	13	24	21	87
rna-XR_003306169.1	36	19	9	17	4	10	5	9	10	15	5	30
rna-XM_006557350.3	1	1	0	7	2	2	3	5	1	3	2	1
rna-XM_006557351.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016917789.2	9	2	2	4	1	2	2	5	4	4	5	6
rna-XM_016917790.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_407457.3	76	37	35	64	21	65	49	92	41	56	60	76
rna-XM_016917650.2	7	6	2	9	1	4	11	5	1	5	0	2
rna-XM_026440446.1	1	2	1	0	0	0	0	0	2	3	0	0
rna-NR_039432.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-Mir2788	0	0	0	0	0	0	0	0	0	0	0	0
rna-NR_039430.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-Mir193	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003304627.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_407455.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003304626.1	2	3	1	1	0	0	1	1	0	2	2	1
rna-XR_003306182.1	3	4	2	1	1	1	5	2	4	4	0	6
rna-XR_003306485.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003306483.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003306479.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_407901.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003306482.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003306484.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003306480.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_001702155.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003306481.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446031.1	1	0	0	0	0	0	0	0	0	1	0	0
rna-XR_407902.3	20	4	9	5	6	7	2	3	1	7	8	10
rna-XM_006558554.3	43	25	21	37	22	52	37	51	25	65	18	80
rna-XM_026446034.1	9	2	0	4	4	7	6	8	5	5	30	7
rna-XM_006558552.3	152	59	55	133	77	284	199	339	286	306	342	456
rna-XM_026446033.1	10	5	5	9	1	14	5	19	3	15	8	17
rna-TRNAS-CGA	0	0	0	0	0	1	0	0	0	0	0	0
rna-XR_003306491.1	37	15	20	16	19	6	18	16	26	17	6	68
rna-XR_003306490.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003306488.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003306487.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003306489.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_001702156.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003306486.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_001702158.2	3	1	1	1	0	4	1	10	4	2	8	6
rna-XM_026446035.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006558620.3	0	0	0	1	1	0	0	0	0	0	0	0
rna-XM_003249303.4	3	3	5	5	4	1	2	10	0	5	1	5
rna-XM_026446036.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003306492.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446039.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446038.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446043.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446037.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446045.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446047.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446041.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446046.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446042.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446044.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446040.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446049.1	364	279	203	312	144	340	276	194	196	169	312	528
rna-XM_003249306.4	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006558561.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016910716.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446048.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026442989.1	2	4	0	2	1	11	1	1	1	5	2	4
rna-XM_026442949.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026442921.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026442862.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-NM_001077823.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446050.1	1423	577	724	1277	552	2522	1021	910	1119	1528	1379	1949
rna-XM_006558574.3	674	518	428	546	264	538	460	446	400	591	403	598
rna-XM_026446259.1	934	356	338	636	247	588	406	434	465	633	470	901
rna-XM_003249309.4	102	72	34	110	62	92	65	103	70	164	72	127
rna-XM_026446051.1	508	354	352	435	321	440	461	435	361	637	540	628
rna-XM_026446052.1	236	141	106	147	143	192	168	190	231	187	244	235
rna-XM_006558575.3	111	59	81	99	55	44	93	101	83	101	101	130
rna-XR_407921.3	11	1	2	17	1	6	12	11	12	14	11	10
rna-XR_003305921.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003305923.1	162	79	83	133	69	87	105	168	126	112	95	161
rna-XM_026444468.1	251	69	93	175	72	66	113	131	106	137	113	231
rna-XR_001703024.2	270	88	105	143	63	187	73	175	82	184	113	269
rna-XR_003306529.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003306531.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_001703023.2	0	0	0	0	0	1	0	0	0	3	0	0
rna-XM_397559.7	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446238.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446243.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006558576.3	25	4	15	13	6	9	5	22	11	18	10	25
rna-XM_006558577.3	13	8	1	4	3	4	3	4	4	6	3	14
rna-XR_003306535.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003306532.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_001120426.5	0	0	1	0	1	0	2	6	1	3	0	1
rna-XM_016912272.2	3	0	0	0	0	0	0	1	3	0	0	4
rna-XM_006558578.3	12	6	9	9	9	10	14	15	14	9	12	24
rna-XM_026439223.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026439220.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_003249312.4	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_003249313.4	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003306523.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_623599.6	335	171	152	219	86	203	144	221	181	243	131	367
rna-XM_006558582.3	0	0	1	0	0	0	0	0	0	0	0	0
rna-XM_006558581.3	0	0	0	0	1	0	0	0	0	0	0	0
rna-XM_026446194.1	2208	673	1421	1020	765	981	503	1434	707	968	1081	1461
rna-XM_006558584.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006558583.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_393421.5	5173	1887	1844	3714	1304	3614	1830	3593	2877	4044	2891	6638
rna-XM_016912185.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_393422.7	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_001702974.2	10	2	2	6	3	5	10	3	7	4	6	7
rna-XM_006558591.3	7	4	2	10	2	1	2	2	1	1	0	2
rna-XM_006558590.3	1	0	1	1	0	0	0	0	0	1	0	0
rna-XM_006558588.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026444753.1	3	2	0	4	0	5	1	3	3	9	7	3
rna-XM_006558587.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006558593.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026444772.1	0	1	0	0	1	1	0	0	0	3	0	0
rna-XR_003305983.1	19	4	27	16	8	9	9	7	21	17	21	30
rna-XR_003305979.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003305978.1	0	0	1	0	0	1	0	0	0	0	0	0
rna-XR_003305995.1	1	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003305996.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006558585.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_395133.6	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006558586.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016912197.2	2	3	1	2	1	1	1	1	2	2	0	4
rna-XR_407947.3	5	5	0	14	0	2	5	3	3	5	5	11
rna-XR_003305999.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_407945.3	5	1	4	16	1	16	3	4	2	18	4	16
rna-XR_001702958.2	1	1	1	0	0	3	1	2	4	0	3	2
rna-XR_003305988.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_001702946.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_407941.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_001702932.2	259	192	113	233	295	978	453	350	645	446	577	450
rna-XR_003305896.1	7	20	8	27	17	18	39	17	83	5	44	9
rna-XM_001120937.5	50	36	26	43	31	41	73	51	90	33	90	56
rna-XM_006558598.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006558597.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_003249288.4	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006558596.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_393342.7	15552	8050	7011	10688	7273	8033	7972	10579	4689	9646	10547	15995
rna-TRNAL-AAG	4	1	4	3	0	5	3	3	3	0	6	0
rna-XR_003304345.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003304344.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003304339.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006558622.3	16	21	13	21	7	12	16	29	20	20	23	19
rna-XR_001706444.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_001706445.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_001706446.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_397274.7	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_003249289.4	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006558601.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016917618.2	1	3	0	4	1	5	5	6	0	3	3	2
rna-XM_026446280.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006558603.3	1	0	0	2	2	0	0	0	4	0	2	1
rna-XM_397273.7	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446281.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006558606.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_393487.7	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446282.1	1850	1098	984	1722	1014	1831	1384	1503	1230	2424	1695	2999
rna-XM_395584.7	693	525	426	588	489	895	702	911	656	1157	1230	1150
rna-XM_001121025.5	1810	682	780	1195	481	1150	733	1095	994	1295	974	1906
rna-XM_624443.4	11	10	5	13	4	6	5	8	12	13	9	16
rna-XM_006558608.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006558609.2	16467	6131	6550	11193	5637	10043	6562	11052	8702	12041	8694	18662
rna-NM_001214904.1	0	0	0	0	1	1	0	0	0	1	0	0
rna-XM_026440906.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026440876.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006558610.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016917865.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016917864.2	58	39	29	52	20	50	49	52	28	62	45	65
rna-XM_006558611.3	107	42	64	93	44	74	37	77	44	88	49	171
rna-XM_006558613.3	0	0	0	0	0	0	0	0	1	0	2	0
rna-XM_016917798.2	5	1	1	1	0	3	2	4	2	1	2	3
rna-XM_396376.7	2896	344	782	1986	594	1450	895	1684	1208	2069	1149	2779
rna-XM_395143.7	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016917921.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006558616.3	270	143	122	157	88	113	106	186	113	150	172	229
rna-XM_001121467.5	491	216	205	353	171	319	222	343	201	353	255	560
rna-XM_006559838.3	0	0	0	0	0	0	0	0	0	1	0	0
rna-XM_001119959.5	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006559839.3	193	72	103	111	41	63	69	72	83	93	71	120
rna-XM_026442212.1	23	23	11	12	15	13	23	15	21	13	16	23
rna-XM_026442190.1	10	4	7	12	6	5	3	12	3	9	5	11
rna-XM_026442197.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026445497.1	633	166	263	552	194	470	260	411	286	624	297	740
rna-XM_026445525.1	514	287	281	381	258	357	321	366	318	473	441	572
rna-XM_395930.6	664	295	290	419	199	420	285	407	408	538	417	706
rna-XM_006559845.3	0	0	0	0	0	0	0	3	0	1	0	2
rna-XM_006559844.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006559842.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006559843.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_003249533.3	576	334	318	391	308	534	338	421	318	455	560	631
rna-XM_026442619.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026442641.1	0	0	0	0	0	0	0	0	1	0	0	0
rna-NM_001242556.1	0	4	0	2	0	3	1	0	0	5	3	0
rna-XM_001120364.5	21756	6007	7349	10896	4152	9759	6245	9619	11057	10814	7498	18162
rna-XR_003306548.1	0	0	0	0	0	0	1	1	0	0	2	0
rna-XM_623108.6	2991	2534	1989	2684	2005	3488	2835	3128	2086	3805	4478	3676
rna-XM_001123127.5	284	121	107	173	93	192	137	196	195	215	167	313
rna-XM_006559846.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006559848.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_392165.7	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006559849.2	1	0	1	0	0	0	0	1	0	0	0	0
rna-XM_006559847.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006559851.3	1225	1030	741	718	530	800	660	843	507	845	1127	915
rna-XM_016911229.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006559854.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016911215.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016911217.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016911237.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_001702381.2	13	3	13	18	16	34	2	7	7	16	14	23
rna-XM_006559852.3	9	9	5	4	10	9	2	5	4	4	14	8
rna-XM_026446260.1	0	0	0	0	0	0	0	0	1	0	1	0
rna-XM_026446324.1	238	182	140	168	158	264	159	223	197	258	354	270
rna-XM_026446328.1	940	418	500	682	369	566	483	869	498	719	780	1031
rna-XM_026446326.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026446325.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016917825.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016917824.2	209	147	136	163	108	149	145	138	124	234	200	228
rna-XM_026444278.1	93	69	73	109	43	93	65	123	67	92	104	139
rna-XM_006559860.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016917922.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006559861.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_001122042.5	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006559863.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_003249530.4	598	313	291	423	202	390	322	380	349	467	390	505
rna-XM_001122063.4	2135	789	682	1411	492	1088	883	1208	1112	1460	943	2084
rna-XM_395451.7	1253	677	685	1095	580	1089	789	1114	893	1007	1109	1517
rna-XM_006559864.3	4	1	0	3	0	2	0	0	0	1	4	1
rna-XM_016917816.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016917815.2	566	304	316	404	208	515	294	442	339	502	353	569
rna-XM_001120419.5	29397	9704	10871	18297	8512	14907	9407	18432	13628	19014	13697	31152
rna-XM_006559866.3	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_006559865.3	0	0	1	0	0	0	0	0	0	0	0	0
rna-XM_396286.7	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_016917857.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026444332.1	2	5	3	7	3	3	1	3	4	3	5	7
rna-XM_026444329.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026444339.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026444337.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026444360.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026444355.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026444340.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026444349.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026444358.1	0	0	0	0	0	0	0	0	0	0	0	0
