GeneInfo	CA_N_007	CA_N_012	CA_N_030	CA_P_013	CA_P_041	CA_P_055	CA_SL_019	CA_SL_048	CA_SL_056	CA_SM_029	CA_SM_039	CA_SM_049
rna-XM_018031523.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018031448.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018031616.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026811467.1	0	0	0	0	0	0	0	0	0	0	2	0
rna-XM_018022807.2	59	30	49	39	23	44	60	61	41	42	24	114
rna-XR_003389016.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018022928.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026812143.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026812118.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026811951.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026812080.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026811999.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026812035.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026812052.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018030027.2	7	0	1	3	0	8	1	1	4	1	6	0
rna-XM_026812380.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026812260.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018029950.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018029874.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018029707.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018019648.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018019542.2	1	0	0	0	0	1	0	0	0	0	0	2
rna-XM_026817130.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037468.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037389.2	6	4	5	3	5	7	2	2	0	0	6	2
rna-XM_026810782.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026812191.1	12	16	20	10	5	2	7	1	12	12	4	3
rna-XM_018030610.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026818547.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026818868.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018031869.2	0	1	3	0	3	0	2	6	2	2	2	3
rna-XM_018031741.2	14	14	16	26	22	19	14	32	16	13	24	14
rna-XR_003389540.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018028653.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018028172.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018028336.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026816201.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018028255.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018028428.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018028575.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018028496.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018028740.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026816244.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018028052.2	3	0	0	1	1	1	0	2	1	3	1	0
rna-XM_026815819.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026815780.1	1	0	0	0	1	4	2	3	1	0	3	0
rna-XM_018030239.2	9	7	9	7	5	3	8	4	5	6	12	15
rna-XM_018030360.2	6037	5032	6021	7562	4425	5455	6723	7093	4514	5221	6046	8327
rna-XM_018037275.2	16	12	13	18	15	24	22	17	7	13	6	11
rna-XM_018035248.2	1044	419	637	657	336	914	1139	1366	704	608	577	1592
rna-XM_018037049.2	0	0	0	0	0	0	1	0	0	0	0	0
rna-XM_018036513.2	0	0	0	0	0	0	0	1	0	0	0	0
rna-XM_018036919.2	2	0	0	1	2	0	1	0	1	0	0	2
rna-XM_026815425.1	1	4	3	2	1	0	1	6	4	4	4	1
rna-XM_026814529.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018031229.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026814656.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018029589.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026814687.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026814569.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026814491.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036711.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036640.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026815207.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037165.2	15	13	24	18	10	22	15	42	13	9	10	34
rna-XM_018036388.2	3409	2688	2970	3447	2653	3008	2681	3599	2768	2512	2504	3461
rna-XM_018036271.2	99	136	81	152	103	199	230	296	132	179	62	229
rna-XM_018025958.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026814414.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026814447.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018026770.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018033243.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018032464.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018034046.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037999.2	18	3	25	18	6	26	50	75	22	18	22	154
rna-XM_018029341.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018029255.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018029590.2	2	0	0	0	0	0	0	1	0	0	0	1
rna-XM_018029474.2	292	344	301	343	332	275	234	254	301	226	259	199
rna-XM_026819351.1	33	48	42	58	28	32	44	63	37	42	41	68
rna-XM_018019825.2	56	60	62	44	53	61	81	79	49	47	43	90
rna-XM_018023525.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026813643.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037754.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018034169.2	4062	2609	4016	3877	2844	3046	2951	4337	3115	3094	2618	3805
rna-XM_018020177.2	313	221	262	274	168	268	270	351	197	235	275	287
rna-XM_018021207.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018021118.2	0	0	0	0	0	1	0	0	0	0	0	0
rna-XM_026814074.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026813421.1	839	534	609	837	441	636	799	1124	579	639	625	1252
rna-XM_018021419.2	114	74	106	81	71	112	66	83	107	90	90	78
rna-XM_018021334.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026814185.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018020991.2	0	1	0	0	0	2	1	0	1	1	0	0
rna-XM_026813920.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026813875.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026813954.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026813988.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018020705.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018020497.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018020583.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018020424.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037388.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026813748.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018024735.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018033955.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018034047.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018030735.2	535	266	470	284	224	386	266	433	362	306	279	366
rna-XM_018030859.2	35	10	20	26	11	38	85	92	20	25	21	130
rna-XM_018038116.2	82	275	134	239	155	105	190	537	124	376	571	362
rna-XM_026818037.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018029121.2	1	1	2	2	1	0	0	2	1	3	0	1
rna-XM_026818080.1	0	2	0	1	2	1	0	1	4	0	0	0
rna-XM_026818058.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018028834.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018028994.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018028913.2	0	0	0	0	0	4	1	2	0	0	0	0
rna-XM_026819493.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819443.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819464.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018032419.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026812611.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026812678.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026812591.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018019864.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018024692.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018024606.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018024368.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018024294.2	3	0	1	1	1	1	3	1	1	0	0	0
rna-XM_018023938.2	2	1	8	2	0	2	5	4	0	3	4	5
rna-XR_003389132.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018024172.2	67	23	39	45	32	27	11	22	51	40	44	13
rna-XM_018024044.2	6	19	13	21	13	30	26	7	27	38	24	7
rna-XM_026813181.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018024484.2	1	0	1	0	0	1	0	1	0	0	0	0
rna-XM_026812870.1	1	1	2	0	2	0	0	1	0	0	0	0
rna-XM_026812985.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018032100.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026812921.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018031978.2	0	0	0	1	0	0	0	0	0	0	0	0
rna-XM_018032305.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018023061.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018023155.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018023279.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026811863.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018023813.2	0	0	1	1	0	0	1	3	3	0	2	2
rna-XM_026816386.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018023679.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018023399.2	137	153	117	229	116	112	81	128	114	106	131	96
rna-XM_026817300.1	1	1	0	4	1	0	0	1	0	0	0	1
rna-XM_018023567.2	0	0	0	2	2	0	1	2	0	0	0	0
rna-XM_026817338.1	0	3	1	5	1	0	4	4	1	0	3	5
rna-XM_026816902.1	2	0	2	0	0	0	2	1	0	0	0	0
rna-XM_018027843.2	2	1	1	0	1	1	0	0	1	1	1	0
rna-XM_018027929.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018027723.2	2	3	1	3	0	2	3	1	1	0	0	1
rna-XM_018027489.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018027405.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018027319.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018027641.2	1	0	1	0	0	0	0	0	3	0	0	0
rna-XM_018020070.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026816792.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026817530.1	0	5	3	3	0	0	0	1	2	3	1	1
rna-XM_026817481.1	0	0	1	0	0	0	0	0	0	0	0	0
rna-XM_018026002.2	0	0	0	1	0	0	0	1	0	0	0	2
rna-XM_018026127.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018026200.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018026388.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018026315.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018026509.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026817051.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026817118.1	5	0	1	2	1	5	3	9	0	7	2	7
rna-XM_026817093.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026817145.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026817192.1	0	2	1	2	0	0	0	1	0	0	0	0
rna-XM_018027200.2	7	0	7	3	8	2	2	7	3	1	2	9
rna-XM_018027117.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018026640.2	0	0	1	0	0	0	0	1	0	0	0	0
rna-XM_026817725.1	7	13	17	17	6	15	13	10	6	8	10	15
rna-XM_018027000.2	1	5	1	3	1	3	4	0	1	3	0	0
rna-XM_018026771.2	52	61	56	69	39	38	52	58	40	50	42	47
rna-XM_018026917.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018026852.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018030492.2	20	13	25	7	10	14	23	42	19	15	11	41
rna-XM_026811680.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018034293.2	0	1	0	2	0	0	0	2	0	0	0	1
rna-XM_026811704.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018034376.2	6	1	0	2	0	1	0	0	2	1	1	0
rna-XM_018032689.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018032772.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026811416.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037871.2	111	122	144	193	132	121	49	104	122	104	102	64
gene-LOC113464757	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018019938.2	19	18	22	24	17	5	7	21	12	21	13	22
rna-XM_018022264.2	0	0	0	1	0	0	0	0	0	0	0	0
rna-XM_018031109.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026813606.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018031321.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018031230.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018030990.2	0	0	1	1	0	0	0	1	0	0	0	0
rna-XM_026818433.1	17	20	13	20	17	11	14	16	15	6	10	19
rna-XM_026818486.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018035850.2	162	215	124	263	101	86	67	94	118	88	169	77
rna-XM_026818564.1	0	4	1	1	2	0	3	3	6	0	4	4
rna-XM_026819181.1	0	0	0	2	0	0	1	1	0	2	0	0
rna-XM_026819235.1	29	27	16	21	16	14	8	20	15	15	12	4
rna-XM_018035961.2	289	271	184	356	166	169	229	249	240	212	250	291
rna-XM_018034974.2	25	43	28	49	28	20	39	58	24	35	39	55
rna-XM_018035724.2	3	1	2	1	1	2	5	7	4	0	1	4
rna-XM_026818700.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026818616.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026818651.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036309.2	58	43	54	39	49	47	36	62	43	43	46	57
rna-XM_026819064.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018035469.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819092.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036258.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036211.2	3	1	2	0	0	1	0	1	0	1	2	0
rna-XM_018035592.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819310.1	0	2	2	1	1	0	0	1	0	1	0	0
rna-XM_018036275.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036267.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026818792.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819316.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018035342.2	23	7	16	14	6	12	16	17	7	5	9	11
rna-XM_018036321.2	5	0	2	2	1	1	0	0	0	2	0	0
rna-XM_018036352.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036364.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036375.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819348.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036421.2	21	6	4	8	8	7	9	16	10	8	4	8
rna-XM_018036508.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036519.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819370.1	0	2	0	0	1	3	1	6	0	5	4	8
rna-XM_018036434.2	51	29	40	35	20	25	19	39	30	31	33	28
rna-XM_018036466.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036485.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036475.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036457.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036494.2	0	1	0	1	0	0	0	1	5	2	1	0
rna-XR_003390037.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_001916960.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036553.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036566.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036579.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003390042.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036604.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036650.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036658.2	0	0	0	0	3	0	2	1	0	0	0	0
gene-LOC108632235	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036690.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036729.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036740.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036764.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819496.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036779.2	10	41	5	7	12	12	4	1	6	15	14	4
rna-XM_026819505.1	0	0	0	0	0	0	0	0	0	0	0	2
rna-XM_018036805.2	5	13	2	1	8	2	14	4	3	6	3	7
rna-XR_003390056.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036828.2	0	1	1	0	0	0	0	0	0	0	0	4
rna-XM_026819536.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819533.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819543.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003390061.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819562.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036840.2	2	1	5	0	0	2	1	4	3	1	1	6
rna-XM_018036867.2	9	1	7	3	5	10	2	8	15	12	7	11
rna-XR_003390066.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003390067.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036854.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819583.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036878.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819627.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819620.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-Trnav-cac	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819601.1	2	3	7	2	4	7	1	1	5	6	1	9
rna-XM_018036925.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819615.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819612.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036911.2	30	30	27	25	20	13	10	13	24	14	21	10
rna-XM_018036947.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819652.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819673.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018036997.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037009.2	0	0	1	1	1	0	2	2	3	1	0	0
rna-XM_026819678.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037022.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819705.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819708.1	0	1	0	0	0	1	0	0	0	2	0	0
rna-XM_018037149.2	0	0	0	1	0	0	0	0	0	1	0	0
rna-XM_018037123.2	7	17	7	14	10	6	2	7	12	13	9	2
rna-XM_018037113.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819729.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037101.2	0	2	0	0	0	0	0	0	0	0	0	0
rna-XM_026819715.1	0	0	0	1	0	0	0	0	0	0	0	0
rna-XM_018037062.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037071.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037074.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037035.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819699.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037136.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819688.1	1	1	0	0	0	0	0	0	0	0	0	0
rna-XM_026819682.1	0	0	0	0	0	0	0	1	0	0	0	1
rna-XM_026819696.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819684.1	1	0	1	0	0	0	0	0	0	0	0	1
rna-XM_018037088.2	46	86	33	66	55	63	67	59	33	62	45	86
rna-XM_018037158.1	0	0	0	0	0	0	0	0	1	0	0	0
rna-XM_018037167.2	4	8	3	11	3	8	0	6	14	6	2	2
rna-XM_026819761.1	18	9	26	19	21	8	31	28	14	15	15	21
rna-XM_018037189.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037198.2	10	8	5	9	3	4	15	15	3	3	7	12
rna-XM_026819768.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819779.1	0	3	3	4	1	1	3	4	1	1	1	5
rna-XM_026819773.1	0	1	0	0	0	0	0	0	0	0	0	0
rna-XM_018037228.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003390094.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003390095.1	0	0	0	0	0	1	0	0	0	0	0	0
gene-LOC108632579	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819801.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003390102.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037252.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819815.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026819824.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037266.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XR_003390109.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037316.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037323.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037355.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026810658.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037407.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026810663.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037380.1	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC108632692	1	1	2	0	0	0	0	1	1	0	1	0
rna-XM_018037431.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026810729.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037485.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026810726.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026810714.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037471.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_026810718.1	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037523.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037540.2	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_018037548.2	0	0	0	0	0	0	0	0	0	0	0	0
