GeneID	GeneInfo	Gene_Desc	AM_N_056	AM_N_068	AM_N_072	AM_P_053	AM_P_057	AM_P_061	AM_SL_050	AM_SL_054	AM_SL_058	AM_SM_051	AM_SM_059	AM_SM_075	Class
Acph-1	XM_016912046.2	venom acid phosphatase	0	5	1	10	1	29	26	16	10	17	13	1	NA
Acph-1	XM_016912047.2	venom acid phosphatase	8	0	0	4	1	40	4	7	1	11	12	10	NA
Acph-1	XM_016912048.2	venom acid phosphatase	1	0	1	4	3	10	0	2	4	1	1	4	NA
ACSF2	NM_001206973.1	acyl-CoA synthetase family member 2	1	0	1	2	0	1	0	0	0	0	1	0	NA
ACSF2	XM_006567106.3	acyl-CoA synthetase family member 2	20	6	7	6	5	6	2	5	5	16	1	15	NA
Adar	NM_001098214.1	adenosine deaminase acting on RNA	0	0	0	0	0	0	0	0	0	0	0	0	NA
Adar	XM_006563327.3	adenosine deaminase acting on RNA	0	0	0	0	0	0	0	0	0	0	0	0	NA
Adar	XM_026445265.1	adenosine deaminase acting on RNA	0	0	0	0	0	0	0	0	0	0	0	0	NA
Adar	XR_001705635.2	adenosine deaminase acting on RNA	0	0	0	0	0	0	0	0	0	0	0	0	NA
Adar	XR_003306104.1	adenosine deaminase acting on RNA	0	0	0	0	0	0	0	0	0	0	0	0	NA
Adar	XR_409682.3	adenosine deaminase acting on RNA	0	0	0	0	0	0	0	0	0	0	0	0	NA
Adar	XR_001705636.2	adenosine deaminase acting on RNA	0	0	0	0	0	0	0	0	0	0	0	0	NA
Adar	XR_001705637.2	adenosine deaminase acting on RNA	0	0	0	0	0	0	0	0	0	0	0	0	NA
Adar	XR_001705634.2	adenosine deaminase acting on RNA	0	0	0	0	0	0	0	0	0	0	0	0	NA
Adar	XR_001705633.2	adenosine deaminase acting on RNA	0	0	0	0	0	0	0	0	0	0	0	0	NA
Adk1	NM_001170972.1	adenylate kinase 1	1137	399	441	463	246	363	301	823	493	946	288	1237	NA
AGLU2	NM_001040236.1	alpha glucosidase 2	55290	138264	45514	94838	82491	242727	112720	107853	68452	177794	150007	67089	NA
Akhr	NM_001040264.1	adipokinetic hormone receptor	519	212	318	256	165	224	189	454	163	252	268	339	NA
Amel_8916	NM_001077822.1	cys-loop ligand-gated ion channel subunit 8916	0	0	0	0	0	0	0	0	0	0	0	0	NA
Amel_8916	XM_026442635.1	cys-loop ligand-gated ion channel subunit 8916	0	0	0	0	0	0	0	0	0	0	0	0	NA
Amel_8916	XM_026442636.1	cys-loop ligand-gated ion channel subunit 8916	0	0	0	0	0	0	0	0	0	0	0	0	NA
Amih	NM_001011568.1	hyperpolarization-activated ion channel	3	1	2	4	0	0	1	2	0	1	1	3	NA
Amih	XM_026442017.1	hyperpolarization-activated ion channel	3	0	1	0	0	0	0	0	1	1	0	1	NA
Amih	XM_016913286.2	hyperpolarization-activated ion channel	9	10	4	8	4	7	9	10	11	19	3	15	NA
Amih	XM_016913293.2	hyperpolarization-activated ion channel	0	0	0	0	0	0	0	0	0	0	0	0	NA
Amih	XM_016913294.2	hyperpolarization-activated ion channel	0	0	1	0	0	1	0	0	1	0	0	1	NA
Amih	XM_016913295.2	hyperpolarization-activated ion channel	79	28	33	56	40	30	69	51	48	79	115	67	NA
Amih	XM_026442011.1	hyperpolarization-activated ion channel	0	0	0	0	0	0	0	0	0	0	0	0	NA
Amih	XM_026442013.1	hyperpolarization-activated ion channel	0	0	0	0	0	0	0	0	0	0	0	0	NA
Amih	XM_026442015.1	hyperpolarization-activated ion channel	0	0	0	0	0	0	0	0	0	0	0	0	NA
Amih	XM_026442018.1	hyperpolarization-activated ion channel	6	3	2	1	6	1	5	5	4	4	2	10	NA
Amih	XM_026442019.1	hyperpolarization-activated ion channel	0	0	0	0	0	0	0	0	0	0	0	0	NA
Amih	XM_026442012.1	hyperpolarization-activated ion channel	0	0	0	0	0	0	0	0	0	0	0	0	NA
Amih	XM_026442014.1	hyperpolarization-activated ion channel	0	0	0	0	0	0	0	0	0	0	0	0	NA
Amih	XM_026442016.1	hyperpolarization-activated ion channel	0	0	0	0	0	0	0	0	0	0	0	0	NA
Ancr-1	NR_003566.1	AncR-1 non-coding nuclear RNA	233528	103929	117378	194599	70254	211765	112883	142328	95868	167139	122003	216861	NA
Ant	NM_001010975.1	ADP/ATP translocase	57036	28111	24814	37323	20506	38716	26082	49556	26765	48218	32104	61314	NA
Antp	NM_001011571.1	homeotic protein antennapedia	0	0	0	0	0	0	0	0	0	0	0	0	NA
Antp	XM_016916893.2	homeotic protein antennapedia	18	2	4	10	2	8	4	14	8	8	1	8	NA
Antp	XM_016916895.2	homeotic protein antennapedia	0	0	0	0	0	0	0	0	0	0	0	0	NA
Antp	XM_016916896.2	homeotic protein antennapedia	2	0	0	0	0	0	0	2	1	2	1	1	NA
Antp	XM_016916898.2	homeotic protein antennapedia	0	0	0	0	0	0	0	1	0	0	0	0	NA
Antp	XM_016916899.2	homeotic protein antennapedia	0	0	0	0	0	0	0	0	0	0	0	0	NA
Antp	XM_016916900.2	homeotic protein antennapedia	1	2	0	1	1	0	0	0	0	0	0	0	NA
Antp	XM_016916901.2	homeotic protein antennapedia	0	0	0	2	0	2	1	0	0	3	0	1	NA
Antp	XM_026445698.1	homeotic protein antennapedia	0	1	0	0	0	2	0	0	0	0	0	0	NA
Apamin	NM_001011612.1	apamin protein	470	315	465	801	152	820	342	546	415	764	499	1014	NA
Apd-1	NM_001085345.1	apidermin 1	78179	4792	19785	91352	10294	39942	12761	60749	28417	52239	28981	36113	NonCanon
Apd-2	NM_001085346.1	apidermin 2	0	0	0	1	0	0	0	0	2	2	0	0	NA
Apd-2	XM_006558657.3	apidermin 2	2	0	1	0	0	0	1	4	0	0	1	3	NA
apd-3	NM_001174145.1	apidermin 3	370	49	40	580	21	30	57	378	128	293	201	262	NA
Apd-3	NM_001085344.1	apidermin 3	160273	12656	39853	87271	16181	28092	13226	28898	30710	53019	44424	71268	NonCanon
Apid1	NM_001011613.1	apidaecin 1	14816	464	2347	43053	807	80922	2675	10218	5764	55384	5917	40934	Canon
Apime-ASTA	NM_001167709.1	allatostatin A	249	221	106	209	89	262	149	394	111	191	111	177	NA
Argk	NM_001011603.1	arginine kinase	0	0	0	0	0	0	0	0	0	0	0	0	NA
Argk	XM_006559182.3	arginine kinase	320	328	121	144	148	390	257	298	272	251	280	340	NA
Argk	XM_006559180.3	arginine kinase	4011	728	939	2368	649	1313	849	1589	1600	1920	1206	3744	NA
Argk	XM_006559183.3	arginine kinase	0	0	0	0	0	0	0	0	0	0	0	0	NA
arm	NM_001185105.1	armadillo segment polarity protein	0	0	0	0	0	0	0	0	0	0	0	0	NA
arm	XM_006557800.3	armadillo segment polarity protein	0	0	0	0	0	0	0	0	0	0	0	0	NA
arm	XM_006557801.1	armadillo segment polarity protein	19	17	14	16	20	20	17	20	8	14	18	17	NA
arm	XM_016915645.1	armadillo segment polarity protein	0	0	0	0	0	0	0	0	0	0	0	0	NA
arm	XR_001705302.2	armadillo segment polarity protein	0	0	0	0	1	4	2	0	0	0	0	0	NA
arm	XR_001705303.2	armadillo segment polarity protein	0	0	0	0	0	0	0	0	0	0	0	0	NA
Arp1	NM_001185145.1	actin related protein 1	16	16	10	12	6	26	14	32	12	13	26	28	Canon
Arp1	NM_001185146.1	actin related protein 1	74	38	50	66	40	160	53	143	50	157	157	125	Canon
ATP5G2	NM_001242656.1	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9)	42	17	17	31	18	28	20	40	24	60	30	57	NA
ATP5G2	NM_001242657.1	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9)	25	5	8	10	4	18	11	22	13	10	10	26	NA
aub	XM_026444877.1	aubergine	0	0	0	0	0	0	0	0	0	0	0	0	Canon
aub	NM_001165906.1	aubergine	0	0	0	0	4	1	0	1	1	0	0	0	Canon
aub	XM_026444879.1	aubergine	0	0	0	0	0	0	0	0	0	0	0	0	Canon
aub	XM_026444876.1	aubergine	0	0	0	0	0	0	0	0	0	0	0	0	Canon
aub	XM_026444878.1	aubergine	0	0	0	0	0	0	0	0	0	0	0	0	Canon
B-gluc1	NM_001163714.1	beta-1,3-glucan recognition protein 1	0	0	0	0	0	0	0	0	0	0	0	0	Canon
B-gluc1	XM_026442612.1	beta-1,3-glucan recognition protein 1	2	0	2	4	0	3	1	0	0	4	0	0	Canon
B-gluc1	XM_016913842.2	beta-1,3-glucan recognition protein 1	0	0	0	0	0	0	0	0	0	0	0	0	Canon
B-gluc1	XM_016913841.2	beta-1,3-glucan recognition protein 1	0	0	0	0	0	0	0	0	0	0	0	0	Canon
bantam	NR_031508.1	microRNA bantam	0	0	0	0	1	0	0	0	0	0	1	0	NA
BBIP1	NM_001185086.1	BBSome-interacting protein 1-like	0	0	0	0	0	0	0	0	0	0	0	0	NA
Blop	NM_001011606.1	blue-sensitive opsin	8	8	3	9	1	2	6	4	3	6	0	7	NA
Br-c	NM_001040266.2	broad-complex	0	0	0	0	0	0	0	0	0	0	0	1	NA
Br-c	XM_006558453.3	broad-complex	0	0	0	0	0	0	0	0	0	0	0	0	NA
Br-c	XM_006558456.3	broad-complex	0	0	0	0	0	0	0	0	0	0	0	0	NA
Br-c	XM_006558459.3	broad-complex	0	0	0	0	0	0	0	0	0	0	0	0	NA
Br-c	XM_006558460.3	broad-complex	19	4	6	11	5	10	6	14	2	1	9	21	NA
Br-c	XM_006558461.3	broad-complex	0	0	0	0	0	0	0	0	0	0	1	0	NA
Br-c	XM_006558462.3	broad-complex	0	0	0	0	0	0	0	0	0	0	0	0	NA
Br-c	XM_006558463.3	broad-complex	0	0	0	0	0	0	0	0	0	0	0	0	NA
Br-c	XM_006558464.3	broad-complex	0	0	0	0	0	0	0	0	0	0	0	0	NA
Br-c	XM_006558466.3	broad-complex	0	0	0	0	0	0	0	0	0	0	0	0	NA
Br-c	XM_006558470.3	broad-complex	0	0	0	0	0	0	0	0	0	0	0	0	NA
Br-c	XM_006558472.3	broad-complex	0	0	0	0	0	0	0	0	0	0	0	0	NA
Br-c	XM_006558473.3	broad-complex	0	0	0	0	0	0	0	0	0	0	0	0	NA
Br-c	XM_026444561.1	broad-complex	0	0	0	0	0	0	0	0	0	0	0	0	NA
Br-c	XM_026444562.1	broad-complex	0	0	0	0	0	0	0	0	0	0	0	0	NA
Brd7	NM_001242515.1	bromodomain containing 7	0	0	0	0	0	0	0	0	0	0	0	0	NA
Brd7	NM_001242516.1	bromodomain containing 7	1	0	0	0	0	0	0	0	0	0	0	0	NA
Brd7	XM_026440530.1	bromodomain containing 7	0	0	0	0	0	0	0	0	0	0	0	0	NA
Brd7	XM_026440531.1	bromodomain containing 7	0	1	0	0	0	0	0	0	0	0	0	0	NA
brp	NM_001256039.1	bruchpilot	0	0	0	0	0	0	1	0	0	0	0	0	NA
brp	XM_006561508.3	bruchpilot	2	2	3	0	1	3	0	1	0	0	0	0	NA
brp	XM_006561509.3	bruchpilot	0	0	0	0	0	0	0	0	0	0	0	0	NA
brp	XM_026442598.1	bruchpilot	0	0	0	0	0	0	0	0	0	0	0	0	NA
Burs	NM_001098234.1	bursicon subunit alpha	0	0	0	0	0	0	0	0	0	0	0	0	NA
Burs	XM_006570869.3	bursicon subunit alpha	0	0	0	0	0	0	0	0	0	0	0	0	NA
c-mos	NM_001011644.2	mos protein	65	28	43	42	23	58	30	65	55	57	53	59	NA
C1q-VP	NM_001144839.2	C1q-like venom protein	9	7	4	5	2	11	11	11	4	11	29	6	NA
C1q-VP	XM_026444880.1	C1q-like venom protein	1656	343	638	1062	469	1136	599	1897	847	1363	1811	3027	NA
Cac	NM_001165904.1	cacophony	0	0	0	0	0	1	0	0	1	0	1	0	NA
Cac	XM_006557941.3	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_016911038.2	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439309.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439317.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439318.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439326.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_016911043.2	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_016911048.2	cacophony	0	1	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_016911049.2	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439312.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439316.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439319.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439325.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439336.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439310.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439311.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439313.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439314.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439320.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439321.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439322.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439323.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439324.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439327.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439328.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439329.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439330.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439331.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439332.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439333.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439334.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XM_026439335.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cac	XR_003304221.1	cacophony	0	0	0	0	0	0	0	0	0	0	0	0	NA
cact1	XM_006567107.2	NF-kappa-B inhibitor cactus 1	0	0	0	0	0	0	0	0	0	0	0	0	Canon
cact1	XM_026439972.1	NF-kappa-B inhibitor cactus 1	5	3	0	1	0	7	4	0	4	2	6	3	Canon
cact1	XM_006567108.3	NF-kappa-B inhibitor cactus 1	0	0	0	0	0	0	0	0	0	0	0	0	Canon
cact1	NM_001163712.1	NF-kappa-B inhibitor cactus 1	5	2	4	21	8	89	61	83	96	94	157	143	Canon
cad	NM_001252430.1	homeotic protein caudal	95	209	50	95	108	316	510	207	164	355	257	217	NA
Calpb	NM_001160405.2	calpain-B	0	0	0	0	0	0	0	0	0	0	0	0	NA
Calpb	XM_026446367.1	calpain-B	0	0	0	0	0	0	0	0	0	0	0	0	NA
Calpb	XM_026446368.1	calpain-B	0	0	0	0	0	0	0	0	0	0	0	0	NA
Calpb	XM_026446369.1	calpain-B	0	0	0	0	0	0	0	0	0	0	0	0	NA
Calpb	XM_026446374.1	calpain-B	0	0	0	0	0	0	0	0	0	0	0	0	NA
Calpb	XM_026446370.1	calpain-B	0	0	0	0	0	0	0	0	0	0	0	0	NA
Calpb	XM_026446371.1	calpain-B	0	0	0	0	0	0	0	0	0	0	0	0	NA
Calpb	XM_026446372.1	calpain-B	34	9	23	74	24	96	36	48	41	56	65	83	NA
Calpb	XM_026446373.1	calpain-B	0	0	0	0	0	0	0	0	0	0	0	0	NA
Calpb	XM_026446375.1	calpain-B	1	0	0	0	0	0	0	0	1	1	0	1	NA
Camkii	NM_001134950.1	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_006560509.3	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_006560512.3	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_006560514.3	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_006560519.3	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_006560524.3	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_006560525.3	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_006560526.3	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_006560527.3	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_006560528.3	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_006560529.3	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_006560530.3	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_006560531.3	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_006560532.3	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_006560533.3	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_006560534.3	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_006560535.3	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_006560536.3	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_006560537.3	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_006560540.3	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_016911562.2	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_026439956.1	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_026439961.1	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_016911563.2	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_016911564.2	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_016911565.2	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_016911566.2	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_016911567.2	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_016911568.2	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_026439954.1	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_026439955.1	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_026439957.1	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_026439963.1	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_026439965.1	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_026439967.1	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_026439958.1	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_026439959.1	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_026439960.1	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_026439962.1	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_026439964.1	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_026439966.1	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_026439968.1	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Camkii	XM_026439969.1	calcium/calmodulin-dependent protein kinase II	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cat	NM_001178069.1	catalase	0	0	0	0	0	0	0	0	0	0	0	0	NA
Cat	XM_026441104.1	catalase	4	4	6	11	7	21	11	4	5	16	7	17	NA
Cbs	NM_001040263.1	cystathionine beta-synthase	963	778	686	566	481	1310	727	576	521	851	662	1018	NA
Cdc37	NM_001242514.1	cell division cycle 37 homolog	1174	845	901	923	893	1385	876	1423	1018	1205	1308	1369	NA
Cdk5	NM_001168425.1	cyclin-dependent kinase 5	853	424	457	549	286	592	403	575	397	580	573	851	NA
Chmp1	NM_001242467.1	chromatin modifying protein 1	970	648	600	821	483	1158	618	834	773	1062	1003	1037	NA
Coq7	NM_001178067.1	ubiquinone biosynthesis protein COQ7	765	383	360	790	266	778	499	1000	635	926	633	1188	NA
Cox6b1	NM_001172403.1	cytochrome c oxidase subunit VIb polypeptide 1	1953	729	849	1526	607	1382	938	1386	1097	1805	1038	2369	NonCanon
Cox6c	XM_006557479.3	cytochrome c oxidase subunit VIc	0	0	0	0	0	0	0	0	0	0	0	0	NonCanon
Cox6c	NM_001172405.1	cytochrome c oxidase subunit VIc	0	0	0	0	0	0	0	0	0	0	0	0	NonCanon
Cox6c	XM_006557480.3	cytochrome c oxidase subunit VIc	0	0	0	0	0	0	0	0	0	0	0	0	NonCanon
Cox6c	XM_016912478.2	cytochrome c oxidase subunit VIc	3	0	0	0	0	0	0	0	0	0	0	1	NonCanon
Cox6c	XM_006557481.3	cytochrome c oxidase subunit VIc	0	0	0	0	0	0	0	0	0	0	0	0	NonCanon
Cox6c	XM_006557482.3	cytochrome c oxidase subunit VIc	0	0	0	0	0	0	0	0	0	0	0	0	NonCanon
