GeneInfo	GeneID	Gene_Desc	PL_N_1906	PL_N_1908	PL_N_1909	PL_P_1912	PL_P_1915	PL_P_1920	PL_SL_1926	PL_SL_1927	PL_SL_1930	PL_SM_1936	PL_SM_1939	PL_SM_1940
Trnai-aau-5	NA	NA	0	1	0	0	0	1	2	0	1	0	1	3
Trnai-aau-6	NA	NA	0	1	2	0	0	1	0	0	0	0	0	1
Trnai-uau	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnai-uau-2	NA	NA	0	0	0	0	0	0	0	1	0	0	0	0
Trnai-uau-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnak-cuu	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnak-cuu-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	1
Trnak-cuu-3	NA	NA	1	3	0	0	0	0	0	3	0	1	0	0
Trnak-cuu-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	1
Trnak-cuu-5	NA	NA	0	0	0	0	0	0	2	0	0	0	0	0
Trnak-uuu	NA	NA	1	0	0	0	0	0	0	0	0	0	1	0
Trnak-uuu-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnak-uuu-3	NA	NA	0	1	0	0	0	0	0	0	1	0	0	0
Trnak-uuu-4	NA	NA	0	0	0	0	0	0	0	0	0	3	0	0
Trnak-uuu-5	NA	NA	0	1	0	0	0	0	0	0	0	0	0	0
Trnak-uuu-6	NA	NA	0	0	1	0	0	0	0	0	0	0	0	0
Trnal-aag	NA	NA	2	0	0	0	0	0	1	0	0	0	0	0
Trnal-aag-2	NA	NA	4	2	1	5	2	1	1	2	1	3	5	1
Trnal-aag-3	NA	NA	2	0	1	0	1	0	2	0	0	0	0	0
Trnal-aag-4	NA	NA	0	2	0	0	0	0	0	1	0	0	0	0
Trnal-caa	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnal-caa-2	NA	NA	0	2	0	0	0	1	1	3	5	0	0	3
Trnal-caa-3	NA	NA	0	0	0	0	0	0	0	0	4	0	0	0
Trnal-cag	NA	NA	0	0	1	0	0	0	3	0	0	0	0	0
Trnal-cag-2	NA	NA	0	2	3	8	0	0	0	0	1	1	1	1
Trnal-uaa	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnal-uaa-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnal-uaa-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnal-uaa-4	NA	NA	0	0	0	0	0	0	0	0	0	2	0	0
Trnal-uag	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnal-uag-2	NA	NA	0	0	0	0	0	1	0	0	0	0	0	0
Trnal-uag-3	NA	NA	0	0	0	1	0	0	0	0	0	0	0	0
Trnam-cau	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnam-cau-10	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnam-cau-11	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnam-cau-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	1
Trnam-cau-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	1
Trnam-cau-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnam-cau-5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnam-cau-6	NA	NA	0	0	0	0	0	0	1	0	0	0	1	0
Trnam-cau-7	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnam-cau-8	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnam-cau-9	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnan-guu	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnan-guu-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnan-guu-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnan-guu-4	NA	NA	0	1	1	1	2	0	4	6	4	5	4	5
Trnan-guu-5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnan-guu-6	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnan-guu-7	NA	NA	4	0	3	6	9	8	3	6	3	0	6	8
Trnap-agg	NA	NA	1	0	0	0	0	3	0	0	0	0	0	3
Trnap-agg-2	NA	NA	0	0	0	0	0	0	0	1	0	0	0	0
Trnap-agg-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnap-cgg	NA	NA	3	2	2	4	0	3	1	2	1	4	2	1
Trnap-cgg-2	NA	NA	0	3	0	0	1	0	0	0	1	1	1	8
Trnap-cgg-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnap-ugg	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnap-ugg-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnap-ugg-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnap-ugg-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnaq-cug	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnaq-cug-2	NA	NA	0	0	1	0	0	0	2	0	0	0	0	0
Trnaq-cug-3	NA	NA	0	1	0	1	0	0	0	0	0	0	0	0
Trnaq-cug-4	NA	NA	0	0	1	0	0	0	0	0	0	0	1	0
Trnaq-uug	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnaq-uug-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnaq-uug-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnar-acg	NA	NA	1	0	0	0	1	1	0	0	0	0	1	0
Trnar-acg-2	NA	NA	1	1	0	1	1	0	1	0	0	0	0	0
Trnar-acg-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnar-acg-4	NA	NA	0	0	0	0	0	0	0	1	0	0	0	0
Trnar-acg-5	NA	NA	0	0	0	0	0	0	0	0	0	1	0	0
Trnar-acg-6	NA	NA	2	0	0	2	3	4	2	2	1	5	0	2
Trnar-ccu	NA	NA	0	0	0	0	0	0	0	0	0	1	0	0
Trnar-ccu-2	NA	NA	0	0	0	0	0	0	1	0	0	0	0	0
Trnar-ccu-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnar-ucg	NA	NA	0	0	0	0	1	0	0	0	0	0	0	1
Trnar-ucg-2	NA	NA	0	0	0	0	0	0	0	0	0	0	2	0
Trnar-ucg-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnar-ucu	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnar-ucu-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnar-ucu-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnas-aga	NA	NA	0	0	0	0	0	0	0	0	1	0	0	0
Trnas-aga-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnas-aga-3	NA	NA	0	2	1	0	0	0	0	2	0	0	0	1
Trnas-aga-4	NA	NA	2	1	3	2	0	1	3	2	5	5	8	5
Trnas-aga-5	NA	NA	0	0	0	1	0	0	1	0	0	0	0	0
Trnas-cga	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnas-cga-2	NA	NA	0	0	0	0	2	0	0	0	0	0	0	1
Trnas-cga-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnas-gcu	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnas-gcu-2	NA	NA	79	44	58	54	47	74	35	53	39	84	41	38
Trnas-gcu-3	NA	NA	0	1	0	3	1	0	0	2	0	1	0	2
Trnas-gcu-4	NA	NA	0	0	0	1	1	0	0	0	0	0	0	0
Trnas-gcu-5	NA	NA	0	0	0	0	0	0	2	0	0	0	0	0
Trnas-gga	NA	NA	0	0	0	0	0	0	0	0	0	0	1	0
Trnas-uga	NA	NA	16	8	4	23	9	14	13	12	8	14	15	5
Trnas-uga-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnat-agu	NA	NA	0	0	1	1	0	0	0	0	0	1	0	0
Trnat-agu-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnat-agu-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnat-agu-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnat-agu-5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnat-cgu	NA	NA	3	0	0	0	0	1	0	1	0	1	1	1
Trnat-cgu-2	NA	NA	0	0	0	0	0	0	0	0	0	1	0	0
Trnat-cgu-3	NA	NA	4	0	4	2	6	5	7	2	0	7	4	5
Trnat-ggu	NA	NA	0	2	0	0	0	1	0	0	1	0	0	0
Trnat-ugu	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnat-ugu-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnat-ugu-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnav-aac	NA	NA	38	39	42	25	72	58	20	56	82	20	38	124
Trnav-aac-2	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0
Trnav-aac-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnav-aac-4	NA	NA	0	0	0	0	0	0	0	0	0	0	1	0
Trnav-aac-5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnav-cac	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnav-cac-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnav-uac	NA	NA	0	0	0	0	0	0	0	0	0	3	0	1
Trnav-uac-2	NA	NA	0	0	1	0	0	0	0	0	0	0	0	0
Trnav-uac-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnaw-cca	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnaw-cca-2	NA	NA	0	0	0	3	1	0	0	0	0	0	2	2
Trnaw-cca-3	NA	NA	1	5	0	4	0	0	0	1	2	0	2	0
Trnaw-cca-4	NA	NA	1	5	1	1	3	1	2	0	2	0	2	0
Trnay-gua	NA	NA	0	0	1	0	0	0	0	0	0	0	0	0
Trnay-gua-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnay-gua-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnay-gua-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Trnay-gua-5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742228.1	LOC106794088	acyl-CoA-binding domain-containing protein 5	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742229.1	LOC106783579	protein PF14_0175-like	169	215	55	185	95	71	157	67	67	189	267	259
XM_014742230.1	LOC106783580	uncharacterized LOC106783580	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742231.1	LOC106783580	uncharacterized LOC106783580	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742232.1	LOC106783580	uncharacterized LOC106783580	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742233.1	LOC106783580	uncharacterized LOC106783580	14	2	13	14	17	3	10	5	7	16	11	11
XM_014742234.1	LOC106783580	uncharacterized LOC106783580	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742235.1	LOC106783580	uncharacterized LOC106783580	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742236.1	LOC106783581	adenylate kinase isoenzyme 5	59	81	4	67	61	36	57	36	45	40	86	99
XM_014742237.1	LOC106794088	acyl-CoA-binding domain-containing protein 5	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742238.1	LOC106783582	tubulin-specific chaperone cofactor E-like protein	1818	1164	1151	1512	1011	759	1028	1387	510	1199	2799	1572
XM_014742239.1	LOC106783583	R3H domain-containing protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742240.1	LOC106783583	R3H domain-containing protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742241.1	LOC106783583	R3H domain-containing protein 1	2	0	0	0	0	0	0	0	0	1	0	1
XM_014742242.1	LOC106783583	R3H domain-containing protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742243.1	LOC106783583	R3H domain-containing protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742244.1	LOC106783583	R3H domain-containing protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742245.1	LOC106783583	R3H domain-containing protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742246.1	LOC106783583	R3H domain-containing protein 1	0	0	0	0	0	0	0	0	0	0	1	0
XM_014742247.1	LOC106783583	R3H domain-containing protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742248.1	LOC106783583	R3H domain-containing protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742249.1	LOC106783583	R3H domain-containing protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742250.1	LOC106783583	R3H domain-containing protein 1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742251.1	LOC106783585	activating signal cointegrator 1 complex subunit 3	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742252.1	LOC106783584	uncharacterized LOC106783584	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742253.1	LOC106783585	activating signal cointegrator 1 complex subunit 3	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742254.1	LOC106783585	activating signal cointegrator 1 complex subunit 3	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742255.1	LOC106783586	multiple inositol polyphosphate phosphatase 1-like	233	296	189	227	202	248	230	233	233	231	224	273
XM_014742256.1	LOC106783587	protein MEMO1	717	900	563	781	561	614	758	710	684	635	753	824
XM_014742257.1	LOC106783588	protein MMS22-like	55	141	47	107	70	98	71	118	113	57	67	89
XM_014742258.1	LOC106783589	conserved oligomeric Golgi complex subunit 5	647	1370	523	628	853	902	655	915	1003	494	674	872
XM_014742259.1	LOC106783590	vacuolar protein sorting-associated protein 52 homolog	690	1124	746	576	861	919	480	1124	907	478	583	687
XM_014742260.1	LOC106783584	uncharacterized LOC106783584	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742261.1	LOC106783591	ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1	101	575	47	159	205	343	252	341	369	102	212	326
XM_014742262.1	LOC106783592	high mobility group protein 20A	151	565	103	229	210	275	211	309	295	156	231	270
XM_014742263.1	LOC106783593	uncharacterized LOC106783593	290	158	245	227	206	242	271	222	191	239	286	315
XM_014742264.1	LOC106783594	translational activator GCN1	1250	1578	908	1311	1378	1250	1268	1452	1328	1153	1488	1433
XM_014742265.1	LOC106783596	serine-rich adhesin for platelets-like	456	199	289	519	363	264	408	229	214	436	468	472
XM_014742266.1	LOC106783597	neogenin-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742267.1	LOC106783597	neogenin-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742268.1	LOC106783597	neogenin-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742269.1	LOC106783597	neogenin-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742270.1	LOC106783597	neogenin-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742271.1	LOC106783597	neogenin-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742272.1	LOC106783598	larval cuticle protein A2B-like	1	1	2	2	1	0	1	2	0	2	0	2
XM_014742273.1	LOC106783597	neogenin-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742274.1	LOC106783597	neogenin-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742275.1	LOC106783600	beta-1,3-galactosyltransferase 5-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742276.1	LOC106783600	beta-1,3-galactosyltransferase 5-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742277.1	LOC106783600	beta-1,3-galactosyltransferase 5-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742278.1	LOC106783600	beta-1,3-galactosyltransferase 5-like	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742279.1	LOC106783601	serine-rich adhesin for platelets	450	491	253	479	418	375	419	370	357	363	485	562
XM_014742280.1	LOC106783602	AP-1 complex subunit gamma-1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742281.1	LOC106783602	AP-1 complex subunit gamma-1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742282.1	LOC106783602	AP-1 complex subunit gamma-1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742283.1	LOC106783602	AP-1 complex subunit gamma-1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742284.1	LOC106783602	AP-1 complex subunit gamma-1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742285.1	LOC106783602	AP-1 complex subunit gamma-1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742286.1	LOC106783602	AP-1 complex subunit gamma-1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742287.1	LOC106783603	isoleucine--tRNA ligase, cytoplasmic	1027	2028	867	1086	1234	1382	1241	1376	1607	859	1264	1375
XM_014742288.1	LOC106783602	AP-1 complex subunit gamma-1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742289.1	LOC106783602	AP-1 complex subunit gamma-1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742290.1	LOC106783602	AP-1 complex subunit gamma-1	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742291.1	LOC106783604	ADP-ribosylation factor-related protein 1	371	769	269	393	435	487	445	471	530	385	374	417
XM_014742292.1	LOC106783605	RAC-gamma serine/threonine-protein kinase	1043	1597	901	1028	1000	1301	910	1294	1313	804	1000	1038
XM_014742293.1	LOC106783606	iron/zinc purple acid phosphatase-like protein	3813	3770	3390	3964	3240	3512	2680	4118	3801	2693	3191	3636
XM_014742294.1	LOC106783607	importin subunit alpha-3	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742295.1	LOC106783607	importin subunit alpha-3	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742296.1	LOC106783609	39S ribosomal protein L3, mitochondrial	822	1233	495	814	659	892	759	840	940	748	637	721
XM_014742297.1	LOC106783610	proton-coupled amino acid transporter 1-like	78	23	62	50	33	35	31	30	30	47	56	52
XM_014742298.1	LOC106783611	guanine nucleotide-binding protein subunit beta-like protein	6650	11750	5667	8276	7756	9038	8212	8297	9527	7418	6159	6317
XM_014742299.1	LOC106783608	transcription factor AP-2-epsilon	22	16	30	43	29	10	29	13	12	15	37	15
XM_014742300.1	LOC106783612	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial-like	1136	1682	744	1169	882	1001	948	1002	1135	974	986	1175
XM_014742301.1	LOC106783613	replication protein A 32 kDa subunit	445	1607	281	530	658	962	533	942	1105	390	563	709
XM_014742302.1	LOC106783614	uncharacterized LOC106783614	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742303.1	LOC106783614	uncharacterized LOC106783614	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742304.1	LOC106783614	uncharacterized LOC106783614	0	0	0	0	0	0	0	0	0	0	0	0
XM_014742305.1	LOC106783615	toll-like receptor 3	40	35	30	45	35	27	56	24	17	37	33	41
