GeneInfo	GeneID	Gene_Desc	BT_A_N_001	BT_A_N_025	BT_A_N_029	BT_A_P_014	BT_A_P_026	BT_A_P_030	BT_A_SL_003	BT_A_SL_027	BT_A_SL_031	BT_A_SM_004	BT_A_SM_028	BT_A_SM_032
TRNAT-AGU-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAT-AGU-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAT-AGU-4	NA	NA	0	0	0	1	0	0	0	0	0	0	0	0
TRNAT-AGU-5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAT-CGU	NA	NA	1	0	2	0	0	1	2	1	0	1	2	1
TRNAT-CGU-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAT-UGU	NA	NA	0	2	0	0	0	0	2	0	0	0	0	0
TRNAT-UGU-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAT-UGU-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAV-AAC	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAV-AAC-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAV-AAC-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAV-AAC-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAV-AAC-5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAV-AAC-6	NA	NA	28	1	6	10	4	1	24	27	20	99	59	8
TRNAV-CAC	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAV-CAC-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAV-CAC-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAV-UAC	NA	NA	4	2	2	2	3	2	3	2	4	1	0	1
TRNAV-UAC-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAV-UAC-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAW-CCA	NA	NA	1	1	0	0	0	0	1	0	0	0	0	0
TRNAW-CCA-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	2
TRNAW-CCA-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAW-CCA-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAY-GUA	NA	NA	0	0	0	0	0	0	0	0	0	1	0	0
TRNAY-GUA-2	NA	NA	0	0	0	0	1	0	0	0	0	0	0	0
TRNAY-GUA-3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAY-GUA-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAY-GUA-5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TRNAY-GUA-6	NA	NA	0	0	0	0	1	0	0	1	1	1	0	0
XM_003392812.3	LOC100642312	ubiquitin-like-conjugating enzyme ATG3	536	814	590	674	466	648	647	560	440	486	574	570
XM_003392813.3	LOC100642432	anaphase-promoting complex subunit 7	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392814.3	LOC100642550	protein FAM122A	659	664	527	440	459	532	540	447	493	467	358	455
XM_003392815.3	LOC100642672	selT-like protein	1543	2306	1921	2001	1388	1775	1758	1625	1500	1375	1390	1762
XM_003392816.3	LOC100642790	ankyrin repeat domain-containing protein 13C	1065	1098	953	940	780	803	1038	842	733	745	683	753
XM_003392817.3	LOC100642910	BTB/POZ domain-containing protein 9	327	198	289	254	170	201	241	262	205	208	161	189
XM_003392820.3	LOC100643514	ejaculatory bulb-specific protein 3	1075	1040	677	733	589	711	511	827	986	473	614	630
XM_003392823.3	LOC100643837	exosome complex component RRP42	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392825.3	LOC100644046	GTP-binding protein Rheb homolog	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392827.3	LOC100644236	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12	3661	4171	3511	3468	2758	3219	3575	3472	3093	3433	2630	2752
XM_003392828.3	LOC100644354	uncharacterized LOC100644354	24	7	19	22	12	27	15	13	12	15	8	13
XM_003392829.3	LOC100644354	uncharacterized LOC100644354	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392833.2	LOC100644871	uncharacterized LOC100644871	2973	4653	3981	4406	3217	3638	4426	3490	3446	3339	2852	3067
XM_003392834.3	LOC100644991	exocyst complex component 1	1072	889	825	823	742	735	939	724	640	793	650	618
XM_003392835.3	LOC100645110	microfibrillar-associated protein 1	1069	1284	1061	978	858	979	1385	930	693	930	841	859
XM_003392836.3	LOC100645550	FAS-associated factor 1	1647	1774	1624	1545	1452	1510	1953	1499	1323	1464	1279	1289
XM_003392837.3	LOC100645666	importin-7	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392838.3	LOC100645787	NEDD8-conjugating enzyme Ubc12	28	72	34	41	33	43	57	55	36	34	46	51
XM_003392839.3	LOC100645787	NEDD8-conjugating enzyme Ubc12	1	2	10	2	4	0	3	2	4	1	0	2
XM_003392840.3	LOC100645973	F-box only protein 28	828	624	762	608	588	602	808	736	586	554	407	461
XM_003392841.3	LOC100646091	cilia- and flagella-associated protein 91	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392844.3	LOC100646573	serine/threonine-protein kinase 32A	107	138	176	60	76	97	133	95	77	91	34	84
XM_003392845.3	LOC100646694	isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	2476	3891	2836	3115	2427	2699	2464	2848	2693	2301	2402	2388
XM_003392846.3	LOC100646815	methenyltetrahydrofolate synthase domain-containing protein	731	915	770	710	611	594	701	676	588	637	523	634
XM_003392849.3	LOC100647171	protein Star	104	94	204	76	88	95	91	115	47	79	79	89
XM_003392850.3	LOC100647285	facilitated trehalose transporter Tret1	27689	29320	52963	26151	18928	24924	26154	23794	21853	16554	16894	20705
XM_003392854.3	LOC100647800	lateral signaling target protein 2 homolog	425	512	370	265	315	362	323	319	379	431	277	343
XM_003392855.3	LOC100647922	transcription factor LBX1	226	297	283	221	127	139	158	118	197	292	150	141
