GeneInfo	GeneID	Gene_Desc	AM_N_056	AM_N_068	AM_N_072	AM_P_053	AM_P_057	AM_P_061	AM_SL_050	AM_SL_054	AM_SL_058	AM_SM_051	AM_SM_059	AM_SM_075
Mir3721	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3722	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3723	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3724	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3726	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3727	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3728	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3729	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3730	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3731	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3733	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3734	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3735	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3736	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3739	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3741	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3743	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3744	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3745	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3747a	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3747b	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3748	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3749	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir375	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3750	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3751	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3752	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3753	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3754	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3755	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3756	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3757	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3758	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3759	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3760	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3762	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3764	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3766	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3767	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3768	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3769	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3770	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3771	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3772	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3773	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3774	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3775	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3776	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3777	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3779	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3780	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3781	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3782	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3783	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3784	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3785	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3786	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3787	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3788	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3789	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3790	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3791	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3792	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3793	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3794	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3795	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3796	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3797	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3798	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3799	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3800	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir3801	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6000a	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6000a-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6000b	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6001	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6001-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6002	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6002-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6003	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6003-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6004	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6004-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6005	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6005-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6006	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6006-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6012	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6037	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6038	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6039	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6040	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6041	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6042	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6043	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6044	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6045	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6046	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6047a	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6047b	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6048	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6049	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6051	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6052	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6053	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6054	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6055	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6056	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6057	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6058	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6059	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6060	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6061	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6062	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6063	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6064	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6065	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6066	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir6067	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir7	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir71	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir750	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir79	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir8	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir87-1	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir87-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir927a	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir927b	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir928	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir929	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir92a	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir92b-1	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir92c	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir932	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir965	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir965-2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir971	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir980	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir981	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir985	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9864	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9865	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9866	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9867	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9868	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9869	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9870	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9871	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9872	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9873	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9874	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9875	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9876	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9877	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9878	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9879	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9880	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9881	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9882	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9883	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9884	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9885	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9886	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9887	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9888	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9889	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir989	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9890	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9891	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9892	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9894	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9895	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9896	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir993	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir996	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9a	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9b	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mir9c	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Miriab-4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Mirlet7	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
NC_001566.1:1..66	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
NC_001566.1:10267..10344	NA	NA	0	0	0	3	0	2	1	0	1	1	3	1
NC_001566.1:10365..10432	NA	NA	1	0	0	0	0	1	0	0	4	0	0	2
NC_001566.1:116..178	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
NC_001566.1:12201..12267	NA	NA	15	8	0	8	4	16	3	6	10	8	10	6
NC_001566.1:13220..13290	NA	NA	27	13	9	40	8	18	26	14	32	15	12	16
NC_001566.1:13291..14661	NA	NA	378382	131007	193639	316313	168001	369498	173593	283583	209251	245442	277849	421650
NC_001566.1:14662..14731	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
NC_001566.1:14732..15517	NA	NA	1062	746	617	1737	770	1389	918	1527	925	1273	1427	1822
NC_001566.1:1503..1571	NA	NA	28	7	2	13	15	14	38	25	49	19	28	26
NC_001566.1:1592..1659	NA	NA	0	1	0	0	0	0	3	2	1	1	0	0
NC_001566.1:1722..1793	NA	NA	328	114	167	251	109	217	169	201	235	203	168	367
NC_001566.1:221..286	NA	NA	0	0	0	0	0	0	0	0	0	0	0	2
NC_001566.1:296..358	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
NC_001566.1:3355..3424	NA	NA	325	177	107	332	128	332	146	338	182	244	279	411
NC_001566.1:360..429	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
NC_001566.1:4294..4362	NA	NA	88	22	33	73	56	99	63	63	77	56	76	91
NC_001566.1:433..501	NA	NA	17	5	7	12	6	14	9	9	5	7	10	7
NC_001566.1:4370..4438	NA	NA	7	0	0	8	3	4	8	4	4	4	3	8
NC_001566.1:6119..6184	NA	NA	7	3	1	6	0	6	7	12	8	10	5	8
NC_001566.1:6572..6638	NA	NA	15	6	3	17	6	18	11	15	20	11	12	16
NC_001566.1:6734..6802	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
NC_001566.1:6810..6878	NA	NA	3	0	0	1	0	0	2	1	4	2	0	4
NC_001566.1:8557..8624	NA	NA	42	19	21	49	17	38	42	51	54	44	37	60
NM_001010975.1	Ant	ADP/ATP translocase	57036	28111	24814	37323	20506	38716	26082	49556	26765	48218	32104	61314
NM_001011562.1	Wat	worker-enriched antennal transcript	212	13	61	96	42	87	16	69	35	111	41	151
NM_001011563.1	Jhe	juvenile hormone esterase	6013	796	730	2185	293	1246	823	2825	1712	2152	1507	1272
NM_001011564.2	Mrjp8	major royal jelly protein 8	1527	447	563	654	255	800	334	576	524	695	490	1075
NM_001011565.1	Oa1	octopamine receptor	377	109	145	191	79	137	61	153	88	151	83	265
NM_001011566.1	Kr-h1	kruppel homolog 1	0	0	0	0	0	0	0	0	0	0	0	0
NM_001011567.1	DopR2	dopamine receptor 2	3	3	0	2	1	1	0	3	0	0	1	0
NM_001011568.1	Amih	hyperpolarization-activated ion channel	3	1	2	4	0	0	1	2	0	1	1	3
NM_001011570.1	Vha16	vacuolar H+ ATP synthase 16 kDa proteolipid subunit	7883	10253	4655	4992	4991	13183	8682	7497	6420	9414	11500	9781
NM_001011571.1	Antp	homeotic protein antennapedia	0	0	0	0	0	0	0	0	0	0	0	0
NM_001011572.1	Tsf1	transferrin 1	50960	7338	33766	109554	17077	36262	38438	75228	54844	82976	44468	152397
NM_001011573.1	Nmdar1	NMDA receptor 1	0	0	0	0	0	0	0	0	0	0	0	0
NM_001011574.1	LOC406081	glucose oxidase	60	156	61	93	216	369	168	54	78	271	19	85
NM_001011575.1	nAChRa8	nicotinic acetylcholine receptor alpha8 subunit	0	0	0	0	0	0	0	0	0	1	0	0
NM_001011576.1	Tk	tachykinin	0	0	0	1	0	0	0	0	2	0	1	0
NM_001011577.1	Dl	dorsal	0	0	0	0	0	5	0	0	0	0	0	1
NM_001011578.1	Vg	vitellogenin	19100	277	1488	1907	247	382	230	5555	611	2006	532	4129
NM_001011579.1	Mrjp1	major royal jelly protein 1	205	39	156	117	99	6	86	6	147	127	104	279
NM_001011580.1	Mrjp2	major royal jelly protein 2	0	0	0	0	0	0	0	0	0	0	0	0
NM_001011581.1	For	cGMP-dependent protein kinase foraging	11	1	4	3	2	4	10	8	8	3	3	19
NM_001011582.1	LOC406093	apisimin	136	22	66	76	29	49	32	38	47	61	50	164
NM_001011583.2	CSP3	chemosensory protein 3	368984	55594	113822	235004	61901	218923	78586	207618	131844	237277	120185	360172
NM_001011584.1	SP34	serine protease 34	0	0	0	6	2	1	0	2	0	2	1	23
NM_001011585.1	LOC406096	type I inositol 1,4,5-trisphosphate 5-phosphatase	2	4	3	0	4	8	10	4	2	5	10	6
NM_001011586.1	IF-2mt	translation initiation factor 2	0	0	0	0	0	0	0	0	0	0	0	0
NM_001011587.1	RpL32	ribosomal protein L32	0	0	0	0	0	0	0	0	0	0	0	0
NM_001011588.1	Obp5	odorant binding protein 5	42	12	27	42	4	23	12	22	7	64	17	30
NM_001011589.1	Obp4	odorant binding protein 4	1291	275	353	727	191	372	226	811	277	994	206	836
NM_001011590.1	Obp1	odorant binding protein 1	8	2	2	443	2	5	4	18	1	5	7	11
NM_001011591.1	Obp2	odorant binding protein 2	0	0	0	160	0	1	1	0	0	0	0	2
NM_001011592.1	Tspan6	tetraspanin 6	131	76	75	163	72	263	84	120	98	164	143	170
NM_001011593.1	Obp6	odorant binding protein 6	0	0	0	0	0	0	0	0	0	0	0	0
NM_001011594.1	TyrR	tyramine receptor	0	0	0	0	0	0	0	0	0	0	0	0
NM_001011595.1	Dop1	dopamine receptor, D1	47	28	27	42	22	49	20	29	32	34	36	61
NM_001011596.1	Per	period circadian protein	0	0	0	0	0	0	0	0	0	0	0	0
NM_001011597.1	Eaat-2	excitatory amino acid transporter 2	0	0	0	2	0	0	0	0	0	0	0	2
NM_001011598.1	LOC406114	alpha-amylase	21282	4396	6881	8962	3182	4232	1726	8089	5978	15335	6004	11559
NM_001011599.1	Mrjp5	major royal jelly protein 5	3	3	4	6	10	11	4	2	11	2	10	19
NM_001011600.1	HEX70b	hexamerin 70b	401	315	141	221	133	458	295	181	300	516	238	857
NM_001011601.1	Mrjp3	major royal jelly protein 3	51	8	35	19	15	13	19	17	34	36	20	54
NM_001011602.1	Psq	pipsqueak	1098	475	493	852	359	684	452	604	616	533	448	865
NM_001011603.1	Argk	arginine kinase	0	0	0	0	0	0	0	0	0	0	0	0
NM_001011604.3	Rps8	ribosomal protein S8	0	0	0	0	0	0	0	0	0	0	0	0
NM_001011605.1	Uvop	ultraviolet-sensitive opsin	951	545	530	489	216	421	368	423	523	518	213	798
